Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.54014599,14
"Nu: 0.0625, Gamma: 0.05",13,1,31,6,37.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",13,1,31,6,37.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.1",13,1,31,6,37.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.2",13,1,18,19,62.74509804,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,2,12,25,72.54901961,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,3,11,26,72.54901961,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.0625, Gamma: 0.99",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,4,31,6,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,4,31,6,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,4,31,6,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,4,31,6,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.05",9,5,31,6,29.41176471,0,40,,,
"Nu: 0.1, Gamma: 0.0625",11,3,29,8,37.25490196,0,40,,,
"Nu: 0.1, Gamma: 0.1",13,1,29,8,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.2",13,1,23,14,52.94117647,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,2,12,25,72.54901961,0,40,,,
"Nu: 0.1, Gamma: 0.7",11,3,11,26,72.54901961,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.1, Gamma: 0.99",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.2, Gamma: 0.0001",7,7,28,9,31.37254902,0,40,,,
"Nu: 0.2, Gamma: 0.0002",8,6,27,10,35.29411765,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,6,27,10,35.29411765,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,6,27,10,35.29411765,0,40,,,
"Nu: 0.2, Gamma: 0.005",8,6,27,10,35.29411765,0,40,,,
"Nu: 0.2, Gamma: 0.05",8,6,26,11,37.25490196,0,40,,,
"Nu: 0.2, Gamma: 0.0625",8,6,26,11,37.25490196,0,40,,,
"Nu: 0.2, Gamma: 0.1",8,6,26,11,37.25490196,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,3,22,15,50.98039216,0,40,,,
"Nu: 0.2, Gamma: 0.5",11,3,12,25,70.58823529,0,40,,,
"Nu: 0.2, Gamma: 0.7",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,3,9,28,76.47058824,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,3,9,28,76.47058824,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,10,20,17,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,10,20,17,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,10,20,17,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,10,20,17,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.005",4,10,20,17,41.17647059,0,40,,,
"Nu: 0.5, Gamma: 0.05",4,10,19,18,43.1372549,0,40,,,
"Nu: 0.5, Gamma: 0.0625",4,10,19,18,43.1372549,0,40,,,
"Nu: 0.5, Gamma: 0.1",4,10,18,19,45.09803922,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,8,9,28,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.7",8,6,9,28,70.58823529,0,40,,,
"Nu: 0.5, Gamma: 0.9",8,6,7,30,74.50980392,0,40,,,
"Nu: 0.5, Gamma: 0.99",8,6,7,30,74.50980392,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,11,12,25,54.90196078,0,40,,,
"Nu: 0.7, Gamma: 0.0003",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.0004",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.005",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.0625",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,10,12,25,56.8627451,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,11,9,28,60.78431373,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,9,4,33,74.50980392,0,40,,,
"Nu: 0.7, Gamma: 0.9",5,9,2,35,78.43137255,0,40,,,
"Nu: 0.7, Gamma: 0.99",5,9,2,35,78.43137255,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.0003",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.0004",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.005",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,12,5,32,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,13,4,33,66.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,13,2,35,70.58823529,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,13,0,37,74.50980392,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,13,0,37,74.50980392,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,13,0,37,74.50980392,0,40,,,
