Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.52542373
"Nu: 0.5, Gamma: 0.0001",2,4,21,29,55.35714286,0,40,,
"Nu: 0.5, Gamma: 0.0002",2,4,21,29,55.35714286,0,40,,
"Nu: 0.5, Gamma: 0.0003",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.0004",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.005",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.05",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.0625",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.1",2,4,22,28,53.57142857,0,40,,
"Nu: 0.5, Gamma: 0.2",2,4,21,29,55.35714286,0,40,,
"Nu: 0.5, Gamma: 0.5",2,4,21,29,55.35714286,0,40,,
"Nu: 0.5, Gamma: 0.7",1,5,18,32,58.92857143,0,40,,
"Nu: 0.5, Gamma: 0.9",2,4,19,31,58.92857143,0,40,,
"Nu: 0.5, Gamma: 0.99",2,4,14,36,67.85714286,0,40,,
"Nu: 0.7, Gamma: 0.0001",1,5,11,39,71.42857143,0,40,,
"Nu: 0.7, Gamma: 0.0002",1,5,11,39,71.42857143,0,40,,
"Nu: 0.7, Gamma: 0.0003",2,4,16,34,64.28571429,0,40,,
"Nu: 0.7, Gamma: 0.0004",2,4,16,34,64.28571429,0,40,,
"Nu: 0.7, Gamma: 0.005",2,4,16,34,64.28571429,0,40,,
"Nu: 0.7, Gamma: 0.05",2,4,14,36,67.85714286,0,40,,
"Nu: 0.7, Gamma: 0.0625",2,4,15,35,66.07142857,0,40,,
"Nu: 0.7, Gamma: 0.1",2,4,17,33,62.5,0,40,,
"Nu: 0.7, Gamma: 0.2",2,4,17,33,62.5,0,40,,
"Nu: 0.7, Gamma: 0.5",1,5,17,33,60.71428571,0,40,,
"Nu: 0.7, Gamma: 0.7",1,5,18,32,58.92857143,0,40,,
"Nu: 0.7, Gamma: 0.9",1,5,11,39,71.42857143,0,40,,
"Nu: 0.7, Gamma: 0.99",1,5,8,42,76.78571429,0,40,,
"Nu: 0.9, Gamma: 0.0001",1,5,11,39,71.42857143,0,40,,
"Nu: 0.9, Gamma: 0.0002",1,5,2,48,87.5,0,40,,
"Nu: 0.9, Gamma: 0.0003",1,5,2,48,87.5,0,40,,
"Nu: 0.9, Gamma: 0.0004",1,5,2,48,87.5,0,40,,
"Nu: 0.9, Gamma: 0.005",1,5,5,45,82.14285714,0,40,,
"Nu: 0.9, Gamma: 0.05",1,5,5,45,82.14285714,0,40,,
"Nu: 0.9, Gamma: 0.0625",1,5,5,45,82.14285714,0,40,,
"Nu: 0.9, Gamma: 0.1",1,5,5,45,82.14285714,0,40,,
"Nu: 0.9, Gamma: 0.2",0,6,9,41,73.21428571,0,40,,
"Nu: 0.9, Gamma: 0.5",0,6,7,43,76.78571429,0,40,,
"Nu: 0.9, Gamma: 0.7",0,6,7,43,76.78571429,0,40,,
"Nu: 0.9, Gamma: 0.9",0,6,7,43,76.78571429,0,40,,
"Nu: 0.9, Gamma: 0.99",0,6,9,41,73.21428571,0,40,,
"Nu: 0.99, Gamma: 0.0001",1,5,11,39,71.42857143,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,6,2,48,85.71428571,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,6,2,48,85.71428571,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,6,2,48,85.71428571,0,40,,
"Nu: 0.99, Gamma: 0.005",0,6,1,49,87.5,0,40,,
"Nu: 0.99, Gamma: 0.05",0,6,1,49,87.5,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,6,1,49,87.5,0,40,,
"Nu: 0.99, Gamma: 0.1",0,6,1,49,87.5,0,40,,
"Nu: 0.99, Gamma: 0.2",0,6,0,50,89.28571429,0,40,,
"Nu: 0.99, Gamma: 0.5",0,6,4,46,82.14285714,0,40,,
