Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.9, Gamma: 0.0002",1,2,4,28,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,2,5,27,80,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,2,5,27,80,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,2,5,27,80,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,1,6,26,80,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,1,6,26,80,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,1,6,26,80,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,1,5,27,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,2,5,27,80,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,2,2,30,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,2,2,30,88.57142857,0,40,,,
