Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.0002, Gamma: 0.7",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,2,31,8,25,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,2,31,8,25,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,2,30,9,27.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,15,24,65.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,2,37,93.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,4,1,38,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,3,1,38,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,3,0,39,93.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,2,31,8,25,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,2,31,8,25,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,2,31,8,25,0,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,29,10,31.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.5",4,1,2,37,93.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2,3,11,28,68.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.9",2,3,1,38,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2,3,0,39,93.18181818,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.05",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.0625",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.1",4,1,31,8,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.2",4,1,29,10,31.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.5",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,2,7,32,79.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.9",4,1,5,34,86.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.99",3,2,4,35,86.36363636,0,40,,,
