Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.2, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.2, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.2, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.5, Gamma: 1e-05",877,19,83,17,89.7590361445783,0,40,
"Nu: 0.5, Gamma: 2e-05",866,19,94,17,88.65461847389558,0,40,
"Nu: 0.5, Gamma: 3e-05",864,18,96,18,88.55421686746988,0,40,
"Nu: 0.5, Gamma: 4e-05",860,18,100,18,88.15261044176707,0,40,
"Nu: 0.5, Gamma: 5e-05",860,18,100,18,88.15261044176707,0,40,
"Nu: 0.5, Gamma: 6e-05",857,18,103,18,87.85140562248996,0,40,
"Nu: 0.5, Gamma: 7e-05",855,18,105,18,87.65060240963855,0,40,
"Nu: 0.5, Gamma: 8e-05",856,18,104,18,87.75100401606426,0,40,
"Nu: 0.5, Gamma: 9e-05",856,18,104,18,87.75100401606426,0,40,
"Nu: 0.5, Gamma: 0.0001",857,18,103,18,87.85140562248996,0,40,
"Nu: 0.5, Gamma: 0.0002",847,17,113,19,86.94779116465864,0,40,
"Nu: 0.5, Gamma: 0.0003",850,17,110,19,87.24899598393574,0,40,
"Nu: 0.5, Gamma: 0.0004",856,18,104,18,87.75100401606426,0,40,
"Nu: 0.5, Gamma: 0.005",912,24,48,12,92.7710843373494,0,40,
"Nu: 0.5, Gamma: 0.05",945,33,15,3,95.18072289156626,0,40,
"Nu: 0.5, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
