Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.0625, Gamma: 0.99",10,2,74,37,38.21138211,0,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,76,35,37.39837398,0,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,76,35,37.39837398,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,76,35,37.39837398,0,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,76,35,37.39837398,0,40,,,
"Nu: 0.1, Gamma: 0.005",11,1,77,34,36.58536585,0,40,,,
"Nu: 0.1, Gamma: 0.05",11,1,77,34,36.58536585,0,40,,,
"Nu: 0.1, Gamma: 0.0625",11,1,77,34,36.58536585,0,40,,,
"Nu: 0.1, Gamma: 0.1",9,3,75,36,36.58536585,0,40,,,
"Nu: 0.1, Gamma: 0.2",7,5,74,37,35.77235772,0,40,,,
"Nu: 0.1, Gamma: 0.5",8,4,70,41,39.83739837,0,40,,,
"Nu: 0.1, Gamma: 0.7",8,4,71,40,39.02439024,0,40,,,
"Nu: 0.1, Gamma: 0.9",8,4,69,42,40.6504065,0,40,,,
"Nu: 0.1, Gamma: 0.99",8,4,69,42,40.6504065,0,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,93,18,23.57723577,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,66,45,44.71544715,0,40,,,
"Nu: 0.2, Gamma: 0.0003",10,2,66,45,44.71544715,0,40,,,
"Nu: 0.2, Gamma: 0.0004",10,2,66,45,44.71544715,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,66,45,44.71544715,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,63,48,47.15447154,0,40,,,
"Nu: 0.2, Gamma: 0.0625",9,3,62,49,47.15447154,0,40,,,
"Nu: 0.2, Gamma: 0.1",7,5,60,51,47.15447154,0,40,,,
"Nu: 0.2, Gamma: 0.2",5,7,58,53,47.15447154,0,40,,,
"Nu: 0.2, Gamma: 0.5",6,6,60,51,46.34146341,0,40,,,
"Nu: 0.2, Gamma: 0.7",6,6,54,57,51.2195122,0,40,,,
"Nu: 0.2, Gamma: 0.9",5,7,49,62,54.47154472,0,40,,,
"Nu: 0.2, Gamma: 0.99",7,5,54,57,52.03252033,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,8,40,71,60.97560976,0,40,,,
"Nu: 0.5, Gamma: 0.0002",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.0003",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.0004",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.005",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.05",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.0625",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.1",5,7,40,71,61.78861789,0,40,,,
"Nu: 0.5, Gamma: 0.2",4,8,36,75,64.22764228,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,9,29,82,69.10569106,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,10,31,80,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,10,29,82,68.29268293,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,10,29,82,68.29268293,0,40,,,
"Nu: 0.7, Gamma: 0.0001",3,9,25,86,72.35772358,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,9,25,86,72.35772358,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,9,29,82,69.10569106,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,9,29,82,69.10569106,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,9,25,86,72.35772358,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,9,29,82,69.10569106,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,9,28,83,69.91869919,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,10,27,84,69.91869919,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,9,26,85,71.54471545,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,10,15,96,79.67479675,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,10,17,94,78.04878049,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,10,15,96,79.67479675,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,10,15,96,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,11,14,97,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,11,14,97,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,11,14,97,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,11,14,97,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,11,14,97,79.67479675,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,9,102,82.92682927,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,9,102,82.92682927,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,10,101,82.11382114,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,5,106,86.17886179,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,11,5,106,86.99186992,0,40,,,
