Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.0625, Gamma: 0.7",461,41,1933,3083,64.2261689,0,40,,,
"Nu: 0.0625, Gamma: 0.9",457,45,1717,3299,68.06814063,0,40,,,
"Nu: 0.0625, Gamma: 0.99",458,44,1756,3260,67.37948532,0,40,,,
"Nu: 0.1, Gamma: 0.0001",228,274,920,4096,78.36172526,0,40,,,
"Nu: 0.1, Gamma: 0.0002",253,249,1018,3998,77.03878217,0,40,,,
"Nu: 0.1, Gamma: 0.0003",254,248,1022,3994,76.98441464,0,40,,,
"Nu: 0.1, Gamma: 0.0004",260,242,1045,3971,76.676332,0,40,,,
"Nu: 0.1, Gamma: 0.005",179,323,690,4326,81.64189924,0,40,,,
"Nu: 0.1, Gamma: 0.05",452,50,2920,2096,46.17615078,0,40,,,
"Nu: 0.1, Gamma: 0.0625",437,65,2640,2376,50.97861544,0,40,,,
"Nu: 0.1, Gamma: 0.1",451,51,2813,2203,48.09713664,0,40,,,
"Nu: 0.1, Gamma: 0.2",450,52,2424,2592,55.12866981,0,40,,,
"Nu: 0.1, Gamma: 0.5",442,60,1526,3490,71.25770207,0,40,,,
"Nu: 0.1, Gamma: 0.7",432,70,1480,3536,71.91011236,0,40,,,
"Nu: 0.1, Gamma: 0.9",434,68,1613,3403,69.53606379,0,40,,,
"Nu: 0.1, Gamma: 0.99",435,67,1728,3288,67.47009786,0,40,,,
"Nu: 0.2, Gamma: 0.0001",77,425,96,4920,90.55817325,0,40,,,
"Nu: 0.2, Gamma: 0.0002",102,400,150,4866,90.03262051,0,40,,,
"Nu: 0.2, Gamma: 0.0003",102,400,152,4864,89.9963755,0,40,,,
"Nu: 0.2, Gamma: 0.0004",104,398,155,4861,89.97825299,0,40,,,
"Nu: 0.2, Gamma: 0.005",337,165,1075,3941,77.52808989,0,40,,,
"Nu: 0.2, Gamma: 0.05",363,139,1205,3811,75.64334904,0,40,,,
"Nu: 0.2, Gamma: 0.0625",378,124,1254,3762,75.02718376,0,40,,,
"Nu: 0.2, Gamma: 0.1",400,102,1217,3799,76.09641174,0,40,,,
"Nu: 0.2, Gamma: 0.2",391,111,1059,3957,78.79666546,0,40,,,
"Nu: 0.2, Gamma: 0.5",390,112,1015,4001,79.57593331,0,40,,,
"Nu: 0.2, Gamma: 0.7",390,112,1098,3918,78.07176513,0,40,,,
"Nu: 0.2, Gamma: 0.9",389,113,1293,3723,74.51975353,0,40,,,
"Nu: 0.2, Gamma: 0.99",390,112,1379,3637,72.97934034,0,40,,,
"Nu: 0.5, Gamma: 0.0001",494,8,4989,27,9.441826749,0,40,,,
"Nu: 0.5, Gamma: 0.0002",494,8,4987,29,9.478071765,0,40,,,
"Nu: 0.5, Gamma: 0.0003",494,8,4987,29,9.478071765,0,40,,,
"Nu: 0.5, Gamma: 0.0004",494,8,4980,36,9.604929322,0,40,,,
"Nu: 0.5, Gamma: 0.005",168,334,113,4903,91.89923885,0,40,,,
"Nu: 0.5, Gamma: 0.05",242,260,184,4832,91.95360638,0,40,,,
"Nu: 0.5, Gamma: 0.0625",240,262,177,4839,92.04421892,0,40,,,
"Nu: 0.5, Gamma: 0.1",238,264,141,4875,92.6603842,0,40,,,
"Nu: 0.5, Gamma: 0.2",237,265,95,4921,93.47589706,0,40,,,
"Nu: 0.5, Gamma: 0.5",238,264,54,4962,94.23704241,0,40,,,
"Nu: 0.5, Gamma: 0.7",237,265,44,4972,94.40014498,0,40,,,
"Nu: 0.5, Gamma: 0.9",238,264,35,4981,94.58137006,0,40,,,
"Nu: 0.5, Gamma: 0.99",237,265,29,4987,94.6719826,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.7, Gamma: 0.0002",4,498,0,5016,90.97499094,0,40,,,
"Nu: 0.7, Gamma: 0.0003",6,496,0,5016,91.01123596,0,40,,,
"Nu: 0.7, Gamma: 0.0004",10,492,1,5015,91.06560348,0,40,,,
"Nu: 0.7, Gamma: 0.005",39,463,1,5015,91.59115622,0,40,,,
"Nu: 0.7, Gamma: 0.05",114,388,8,5008,92.82348677,0,40,,,
"Nu: 0.7, Gamma: 0.0625",121,381,9,5007,92.93222182,0,40,,,
"Nu: 0.7, Gamma: 0.1",131,371,8,5008,93.13156941,0,40,,,
"Nu: 0.7, Gamma: 0.2",132,370,2,5014,93.25842697,0,40,,,
"Nu: 0.7, Gamma: 0.5",134,368,0,5016,93.330917,0,40,,,
"Nu: 0.7, Gamma: 0.7",132,370,0,5016,93.29467198,0,40,,,
"Nu: 0.7, Gamma: 0.9",138,364,0,5016,93.40340703,0,40,,,
"Nu: 0.7, Gamma: 0.99",135,367,0,5016,93.34903951,0,40,,,
"Nu: 0.9, Gamma: 0.0001",25,477,1,5015,91.3374411,0,40,,,
"Nu: 0.9, Gamma: 0.0002",194,308,64,4952,93.25842697,0,40,,,
"Nu: 0.9, Gamma: 0.0003",178,324,50,4966,93.22218195,0,40,,,
