Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.1, Gamma: 0.9",90,9,182,48,41.94528875379939,0,40,
"Nu: 0.1, Gamma: 0.99",90,9,180,50,42.5531914893617,0,40,
"Nu: 0.2, Gamma: 0.0001",78,21,221,9,26.443768996960486,0,40,
"Nu: 0.2, Gamma: 0.0002",78,21,221,9,26.443768996960486,0,40,
"Nu: 0.2, Gamma: 0.0003",77,22,221,9,26.13981762917933,0,40,
"Nu: 0.2, Gamma: 0.0004",77,22,221,9,26.13981762917933,0,40,
"Nu: 0.2, Gamma: 0.005",77,22,221,9,26.13981762917933,0,40,
"Nu: 0.2, Gamma: 0.05",77,22,219,11,26.74772036474164,0,40,
"Nu: 0.2, Gamma: 0.0625",77,22,218,12,27.0516717325228,0,40,
"Nu: 0.2, Gamma: 0.1",77,22,197,33,33.43465045592705,0,40,
"Nu: 0.2, Gamma: 0.2",75,24,173,57,40.121580547112465,0,40,
"Nu: 0.2, Gamma: 0.5",84,15,186,44,38.90577507598784,0,40,
"Nu: 0.2, Gamma: 0.7",84,15,186,44,38.90577507598784,0,40,
"Nu: 0.2, Gamma: 0.9",84,15,184,46,39.51367781155015,0,40,
"Nu: 0.2, Gamma: 0.99",84,15,180,50,40.72948328267477,0,40,
"Nu: 0.5, Gamma: 0.0001",57,42,192,38,28.87537993920973,0,40,
"Nu: 0.5, Gamma: 0.0002",57,42,192,38,28.87537993920973,0,40,
"Nu: 0.5, Gamma: 0.0003",57,42,192,38,28.87537993920973,0,40,
"Nu: 0.5, Gamma: 0.0004",55,44,192,38,28.267477203647417,0,40,
"Nu: 0.5, Gamma: 0.005",55,44,192,38,28.267477203647417,0,40,
"Nu: 0.5, Gamma: 0.05",55,44,191,39,28.57142857142857,0,40,
"Nu: 0.5, Gamma: 0.0625",55,44,188,42,29.48328267477204,0,40,
"Nu: 0.5, Gamma: 0.1",55,44,188,42,29.48328267477204,0,40,
"Nu: 0.5, Gamma: 0.2",52,47,154,76,38.90577507598784,0,40,
"Nu: 0.5, Gamma: 0.5",52,47,162,68,36.474164133738604,0,40,
"Nu: 0.5, Gamma: 0.7",52,47,162,68,36.474164133738604,0,40,
"Nu: 0.5, Gamma: 0.9",51,48,157,73,37.68996960486322,0,40,
"Nu: 0.5, Gamma: 0.99",50,49,156,74,37.68996960486322,0,40,
"Nu: 0.7, Gamma: 0.0001",29,70,10,220,75.6838905775076,0,40,
"Nu: 0.7, Gamma: 0.0002",29,70,10,220,75.6838905775076,0,40,
"Nu: 0.7, Gamma: 0.0003",29,70,10,220,75.6838905775076,0,40,
"Nu: 0.7, Gamma: 0.0004",29,70,10,220,75.6838905775076,0,40,
"Nu: 0.7, Gamma: 0.005",29,70,10,220,75.6838905775076,0,40,
"Nu: 0.7, Gamma: 0.05",30,69,10,220,75.98784194528876,0,40,
"Nu: 0.7, Gamma: 0.0625",30,69,10,220,75.98784194528876,0,40,
"Nu: 0.7, Gamma: 0.1",32,67,10,220,76.59574468085107,0,40,
"Nu: 0.7, Gamma: 0.2",35,64,10,220,77.50759878419453,0,40,
