Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,152
"Nu: 0.9, Gamma: 0.0004",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,1,8,12,59.09090909,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,1,4,16,77.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,1,5,15,72.72727273,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,5,15,68.18181818,0,40,,,
