Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95.19840551,131
"Nu: 0.7, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,502,5,5011,90.81188837,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,502,5,5011,90.81188837,0,40,,,
"Nu: 0.7, Gamma: 0.0004",16,486,25,4991,90.73939833,0,40,,,
"Nu: 0.7, Gamma: 0.005",25,477,43,4973,90.57629576,0,40,,,
"Nu: 0.7, Gamma: 0.05",126,376,82,4934,91.69989126,0,40,,,
"Nu: 0.7, Gamma: 0.0625",155,347,98,4918,91.93548387,0,40,,,
"Nu: 0.7, Gamma: 0.1",155,347,84,4932,92.18919899,0,40,,,
"Nu: 0.7, Gamma: 0.2",140,362,58,4958,92.38854657,0,40,,,
"Nu: 0.7, Gamma: 0.5",140,362,20,4996,93.07720188,0,40,,,
"Nu: 0.7, Gamma: 0.7",134,368,18,4998,93.00471185,0,40,,,
"Nu: 0.7, Gamma: 0.9",136,366,13,5003,93.13156941,0,40,,,
"Nu: 0.7, Gamma: 0.99",141,361,13,5003,93.22218195,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.9, Gamma: 0.0002",4,498,9,5007,90.81188837,0,40,,,
"Nu: 0.9, Gamma: 0.0003",186,316,99,4917,92.47915912,0,40,,,
