Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.0625, Gamma: 0.0003",7,5,28,8,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,34,2,29.16666667,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,34,2,29.16666667,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,29,7,39.58333333,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,12,24,75,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,7,29,85.41666667,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,4,32,91.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,3,33,93.75,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,5,25,11,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,32,4,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,29,7,39.58333333,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,14,22,70.83333333,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,7,29,85.41666667,0,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,3,33,93.75,0,40,,,
