Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.0003, Gamma: 0.1",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,3,7,43,81.81818182,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,40,10,25.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.7",4,1,25,25,52.72727273,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,4,27,23,43.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,4,8,42,78.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.005",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.2",2,3,7,43,81.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.5",4,1,40,10,25.45454545,0,40,,,
"Nu: 0.0004, Gamma: 0.7",0,5,22,28,50.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,9,41,80,0,40,,,
"Nu: 0.0004, Gamma: 0.99",1,4,8,42,78.18181818,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0004",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.005",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,46,4,16.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,47,3,14.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,34,16,38.18181818,0,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,35,15,36.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,34,16,38.18181818,0,40,,,
