Features: 16,,,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.08284024,31,2924,2193
"Nu: 0.2, Gamma: 0.0001",195,7,141,24,59.67302452,0,40,,,,,
"Nu: 0.2, Gamma: 0.0002",216,7,120,24,65.39509537,0,40,,,,,
"Nu: 0.2, Gamma: 0.0003",230,7,106,24,69.20980926,0,40,,,,,
"Nu: 0.2, Gamma: 0.0004",237,9,99,22,70.57220708,0,40,,,,,
"Nu: 0.2, Gamma: 0.005",320,27,16,4,88.28337875,0,40,,,,,
"Nu: 0.2, Gamma: 0.05",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.2, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.2, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.2, Gamma: 0.2",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.2, Gamma: 0.5",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.2, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.2, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
