Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.0625, Gamma: 0.0003",1145,1162,3,93,51.51893467,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",1176,1131,3,93,52.80898876,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2173,134,3,93,94.29879318,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2175,132,3,93,94.38202247,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2175,132,3,93,94.38202247,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2176,131,3,93,94.42363712,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2174,133,1,95,94.42363712,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2173,134,0,96,94.42363712,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2159,148,0,96,93.84103204,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2174,133,0,96,94.46525177,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2175,132,0,96,94.50686642,0,40,,,
"Nu: 0.1, Gamma: 0.0001",1884,423,1,95,82.3553891,0,40,,,
"Nu: 0.1, Gamma: 0.0002",1886,421,1,95,82.43861839,0,40,,,
"Nu: 0.1, Gamma: 0.0003",1884,423,1,95,82.3553891,0,40,,,
"Nu: 0.1, Gamma: 0.0004",1936,371,1,95,84.51935081,0,40,,,
"Nu: 0.1, Gamma: 0.005",2081,226,1,95,90.55347482,0,40,,,
"Nu: 0.1, Gamma: 0.05",2080,227,1,95,90.51186017,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2080,227,1,95,90.51186017,0,40,,,
"Nu: 0.1, Gamma: 0.1",2080,227,1,95,90.51186017,0,40,,,
"Nu: 0.1, Gamma: 0.2",2079,228,0,96,90.51186017,0,40,,,
"Nu: 0.1, Gamma: 0.5",2080,227,0,96,90.55347482,0,40,,,
"Nu: 0.1, Gamma: 0.7",2083,224,0,96,90.67831877,0,40,,,
"Nu: 0.1, Gamma: 0.9",2073,234,0,96,90.26217228,0,40,,,
"Nu: 0.1, Gamma: 0.99",2064,243,0,96,89.88764045,0,40,,,
"Nu: 0.2, Gamma: 0.0001",548,1759,0,96,26.79983354,0,40,,,
"Nu: 0.2, Gamma: 0.0002",523,1784,0,96,25.75946733,0,40,,,
"Nu: 0.2, Gamma: 0.0003",1828,479,0,96,80.06658344,0,40,,,
"Nu: 0.2, Gamma: 0.0004",1827,480,0,96,80.02496879,0,40,,,
"Nu: 0.2, Gamma: 0.005",1843,464,0,96,80.69080316,0,40,,,
"Nu: 0.2, Gamma: 0.05",1862,445,0,96,81.48148148,0,40,,,
"Nu: 0.2, Gamma: 0.0625",1862,445,0,96,81.48148148,0,40,,,
"Nu: 0.2, Gamma: 0.1",1860,447,0,96,81.39825218,0,40,,,
"Nu: 0.2, Gamma: 0.2",1862,445,0,96,81.48148148,0,40,,,
"Nu: 0.2, Gamma: 0.5",1848,459,0,96,80.8988764,0,40,,,
"Nu: 0.2, Gamma: 0.7",1837,470,0,96,80.44111527,0,40,,,
"Nu: 0.2, Gamma: 0.9",1837,470,0,96,80.44111527,0,40,,,
"Nu: 0.2, Gamma: 0.99",1830,477,0,96,80.14981273,0,40,,,
"Nu: 0.5, Gamma: 0.0001",425,1882,0,96,21.68123179,0,40,,,
"Nu: 0.5, Gamma: 0.0002",333,1974,0,96,17.85268414,0,40,,,
"Nu: 0.5, Gamma: 0.0003",369,1938,0,96,19.35081149,0,40,,,
"Nu: 0.5, Gamma: 0.0004",551,1756,0,96,26.92467749,0,40,,,
"Nu: 0.5, Gamma: 0.005",879,1428,0,96,40.57428215,0,40,,,
"Nu: 0.5, Gamma: 0.05",1100,1207,0,96,49.77111943,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1142,1165,0,96,51.51893467,0,40,,,
"Nu: 0.5, Gamma: 0.1",1089,1218,0,96,49.3133583,0,40,,,
"Nu: 0.5, Gamma: 0.2",1101,1206,0,96,49.81273408,0,40,,,
"Nu: 0.5, Gamma: 0.5",1107,1200,0,96,50.06242197,0,40,,,
"Nu: 0.5, Gamma: 0.7",1167,1140,0,96,52.55930087,0,40,,,
"Nu: 0.5, Gamma: 0.9",1153,1154,0,96,51.9766958,0,40,,,
"Nu: 0.5, Gamma: 0.99",1159,1148,0,96,52.22638369,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1630,677,0,96,71.82688306,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1281,1026,0,96,57.30337079,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1380,927,0,96,61.42322097,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1692,615,0,96,74.40699126,0,40,,,
"Nu: 0.7, Gamma: 0.005",345,1962,0,96,18.35205993,0,40,,,
"Nu: 0.7, Gamma: 0.05",694,1613,0,96,32.8755722,0,40,,,
"Nu: 0.7, Gamma: 0.0625",686,1621,0,96,32.54265501,0,40,,,
"Nu: 0.7, Gamma: 0.1",658,1649,0,96,31.37744486,0,40,,,
"Nu: 0.7, Gamma: 0.2",679,1628,0,96,32.25135248,0,40,,,
"Nu: 0.7, Gamma: 0.5",727,1580,0,96,34.2488556,0,40,,,
"Nu: 0.7, Gamma: 0.7",696,1611,0,96,32.9588015,0,40,,,
"Nu: 0.7, Gamma: 0.9",713,1594,0,96,33.66625052,0,40,,,
"Nu: 0.7, Gamma: 0.99",709,1598,0,96,33.49979193,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,2306,0,96,4.036620891,0,40,,,
"Nu: 0.9, Gamma: 0.0002",4,2303,0,96,4.161464836,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,2304,0,96,4.119850187,0,40,,,
"Nu: 0.9, Gamma: 0.0004",8,2299,0,96,4.327923429,0,40,,,
"Nu: 0.9, Gamma: 0.005",278,2029,0,96,15.56387849,0,40,,,
