Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95,145
"Nu: 0.9, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,1,2,18,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,0,2,18,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,0,9,11,59.09090909,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,2,2,18,81.81818182,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,2,18,81.81818182,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,20,90.90909091,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,18,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,18,90,10,40,,,
