Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.22641509,462
"Nu: 0.005, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.005",4,1,13,31,71.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.05",4,1,22,22,53.06122449,0,40,,,
"Nu: 0.005, Gamma: 0.0625",3,2,22,22,51.02040816,0,40,,,
"Nu: 0.005, Gamma: 0.1",3,2,22,22,51.02040816,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,2,14,30,67.34693878,0,40,,,
"Nu: 0.005, Gamma: 0.5",3,2,6,38,83.67346939,0,40,,,
"Nu: 0.005, Gamma: 0.7",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.005, Gamma: 0.9",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.99",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0001",3,2,24,20,46.93877551,0,40,,,
"Nu: 0.05, Gamma: 0.0002",3,2,24,20,46.93877551,0,40,,,
"Nu: 0.05, Gamma: 0.0003",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.05, Gamma: 0.0004",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.05, Gamma: 0.005",4,1,20,24,57.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.05",4,1,22,22,53.06122449,0,40,,,
"Nu: 0.05, Gamma: 0.0625",3,2,23,21,48.97959184,0,40,,,
"Nu: 0.05, Gamma: 0.1",3,2,22,22,51.02040816,0,40,,,
"Nu: 0.05, Gamma: 0.2",1,4,13,31,65.30612245,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,2,6,38,83.67346939,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,4,2,42,87.75510204,0,40,,,
