Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0625, Gamma: 0.99",4,0,6,33,86.04651162790698,0,40,
"Nu: 0.1, Gamma: 0.0001",4,0,32,7,25.581395348837212,0,40,
"Nu: 0.1, Gamma: 0.0002",2,2,22,17,44.18604651162791,0,40,
"Nu: 0.1, Gamma: 0.0003",3,1,24,15,41.86046511627907,0,40,
"Nu: 0.1, Gamma: 0.0004",3,1,24,15,41.86046511627907,0,40,
"Nu: 0.1, Gamma: 0.005",3,1,26,13,37.2093023255814,0,40,
"Nu: 0.1, Gamma: 0.05",3,1,26,13,37.2093023255814,0,40,
"Nu: 0.1, Gamma: 0.0625",3,1,26,13,37.2093023255814,0,40,
"Nu: 0.1, Gamma: 0.1",3,1,24,15,41.86046511627907,0,40,
"Nu: 0.1, Gamma: 0.2",2,2,13,26,65.11627906976744,0,40,
"Nu: 0.1, Gamma: 0.5",4,0,13,26,69.76744186046511,0,40,
"Nu: 0.1, Gamma: 0.7",4,0,9,30,79.06976744186046,0,40,
"Nu: 0.1, Gamma: 0.9",4,0,7,32,83.72093023255815,0,40,
"Nu: 0.1, Gamma: 0.99",4,0,6,33,86.04651162790698,0,40,
"Nu: 0.2, Gamma: 0.0001",3,1,24,15,41.86046511627907,0,40,
"Nu: 0.2, Gamma: 0.0002",2,2,26,13,34.883720930232556,0,40,
"Nu: 0.2, Gamma: 0.0003",2,2,26,13,34.883720930232556,0,40,
"Nu: 0.2, Gamma: 0.0004",2,2,26,13,34.883720930232556,0,40,
"Nu: 0.2, Gamma: 0.005",2,2,25,14,37.2093023255814,0,40,
"Nu: 0.2, Gamma: 0.05",2,2,25,14,37.2093023255814,0,40,
"Nu: 0.2, Gamma: 0.0625",2,2,24,15,39.53488372093023,0,40,
"Nu: 0.2, Gamma: 0.1",2,2,23,16,41.86046511627907,0,40,
"Nu: 0.2, Gamma: 0.2",2,2,13,26,65.11627906976744,0,40,
"Nu: 0.2, Gamma: 0.5",3,1,7,32,81.3953488372093,0,40,
"Nu: 0.2, Gamma: 0.7",3,1,5,34,86.04651162790698,0,40,
"Nu: 0.2, Gamma: 0.9",3,1,4,35,88.37209302325581,0,40,
"Nu: 0.2, Gamma: 0.99",4,0,4,35,90.69767441860465,0,40,
"Nu: 0.5, Gamma: 0.0001",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.0002",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.0003",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.0004",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.005",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.05",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.0625",2,2,21,18,46.51162790697674,0,40,
"Nu: 0.5, Gamma: 0.1",2,2,19,20,51.162790697674424,0,40,
"Nu: 0.5, Gamma: 0.2",1,3,5,34,81.3953488372093,0,40,
"Nu: 0.5, Gamma: 0.5",1,3,5,34,81.3953488372093,0,40,
"Nu: 0.5, Gamma: 0.7",1,3,5,34,81.3953488372093,0,40,
"Nu: 0.5, Gamma: 0.9",1,3,4,35,83.72093023255815,0,40,
"Nu: 0.5, Gamma: 0.99",1,3,4,35,83.72093023255815,0,40,
"Nu: 0.7, Gamma: 0.0001",1,3,11,28,67.44186046511628,0,40,
"Nu: 0.7, Gamma: 0.0002",1,3,11,28,67.44186046511628,0,40,
"Nu: 0.7, Gamma: 0.0003",1,3,11,28,67.44186046511628,0,40,
"Nu: 0.7, Gamma: 0.0004",1,3,11,28,67.44186046511628,0,40,
"Nu: 0.7, Gamma: 0.005",1,3,12,27,65.11627906976744,0,40,
"Nu: 0.7, Gamma: 0.05",1,3,10,29,69.76744186046511,0,40,
"Nu: 0.7, Gamma: 0.0625",1,3,9,30,72.09302325581395,0,40,
"Nu: 0.7, Gamma: 0.1",2,2,8,31,76.74418604651163,0,40,
"Nu: 0.7, Gamma: 0.2",1,3,2,37,88.37209302325581,0,40,
"Nu: 0.7, Gamma: 0.5",1,3,3,36,86.04651162790698,0,40,
"Nu: 0.7, Gamma: 0.7",1,3,3,36,86.04651162790698,0,40,
"Nu: 0.7, Gamma: 0.9",1,3,3,36,86.04651162790698,0,40,
"Nu: 0.7, Gamma: 0.99",1,3,2,37,88.37209302325581,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.05",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.0625",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.1",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.9, Gamma: 0.2",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.9, Gamma: 0.5",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.9, Gamma: 0.7",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.9, Gamma: 0.9",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.9, Gamma: 0.99",1,3,0,39,93.02325581395348,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.99, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
