Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,312
"Nu: 0.1, Gamma: 0.5",4,0,26,6,27.77777778,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,23,9,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,24,8,30.55555556,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,24,8,30.55555556,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,0,16,16,55.55555556,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,21,11,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,27,5,25,0,40,,,
"Nu: 0.2, Gamma: 0.5",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,20,12,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,23,9,33.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,23,9,33.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,7,25,77.77777778,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,7,25,77.77777778,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,9,23,69.44444444,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,11,21,63.88888889,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,11,21,63.88888889,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,1,11,21,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,5,27,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,4,28,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,4,28,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,4,28,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,4,28,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,1,4,28,86.11111111,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,1,3,29,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,1,3,29,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,1,1,31,94.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,1,31,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,2,30,86.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,2,30,86.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,3,3,29,83.33333333,0,40,,,
