Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.0002, Gamma: 0.99",127,7,193,37,45.05494505,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",103,31,228,2,28.84615385,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",103,31,228,2,28.84615385,0,40,,,
"Nu: 0.0003, Gamma: 0.005",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.05",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.1",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.2",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0003, Gamma: 0.5",127,7,215,15,39.01098901,0,40,,,
"Nu: 0.0003, Gamma: 0.7",133,1,198,32,45.32967033,0,40,,,
"Nu: 0.0003, Gamma: 0.9",118,16,193,37,42.58241758,0,40,,,
"Nu: 0.0003, Gamma: 0.99",123,11,191,39,44.50549451,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",103,31,228,2,28.84615385,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",103,31,228,2,28.84615385,0,40,,,
"Nu: 0.0004, Gamma: 0.005",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.05",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.1",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0004, Gamma: 0.2",132,2,229,1,36.53846154,0,40,,,
"Nu: 0.0004, Gamma: 0.5",129,5,215,15,39.56043956,0,40,,,
"Nu: 0.0004, Gamma: 0.7",133,1,196,34,45.87912088,0,40,,,
"Nu: 0.0004, Gamma: 0.9",133,1,193,37,46.7032967,0,40,,,
