Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.05",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0003, Gamma: 0.0625",5,0,47,3,14.54545455,0,40,,
"Nu: 0.0003, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0003, Gamma: 0.2",0,5,8,42,76.36363636,0,40,,
"Nu: 0.0003, Gamma: 0.5",3,2,25,25,50.90909091,0,40,,
"Nu: 0.0003, Gamma: 0.7",0,5,17,33,60,0,40,,
"Nu: 0.0003, Gamma: 0.9",1,4,9,41,76.36363636,0,40,,
"Nu: 0.0003, Gamma: 0.99",1,4,11,39,72.72727273,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0004, Gamma: 0.05",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0004, Gamma: 0.0625",5,0,47,3,14.54545455,0,40,,
"Nu: 0.0004, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0004, Gamma: 0.2",5,0,44,6,20,0,40,,
"Nu: 0.0004, Gamma: 0.5",5,0,43,7,21.81818182,0,40,,
"Nu: 0.0004, Gamma: 0.7",3,2,29,21,43.63636364,0,40,,
"Nu: 0.0004, Gamma: 0.9",3,2,23,27,54.54545455,0,40,,
"Nu: 0.0004, Gamma: 0.99",3,2,20,30,60,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.005, Gamma: 0.005",5,0,47,3,14.54545455,0,40,,
"Nu: 0.005, Gamma: 0.05",5,0,45,5,18.18181818,0,40,,
"Nu: 0.005, Gamma: 0.0625",5,0,47,3,14.54545455,0,40,,
"Nu: 0.005, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,
"Nu: 0.005, Gamma: 0.2",5,0,46,4,16.36363636,0,40,,
"Nu: 0.005, Gamma: 0.5",4,1,45,5,16.36363636,0,40,,
"Nu: 0.005, Gamma: 0.7",2,3,38,12,25.45454545,0,40,,
"Nu: 0.005, Gamma: 0.9",1,4,36,14,27.27272727,0,40,,
"Nu: 0.005, Gamma: 0.99",1,4,34,16,30.90909091,0,40,,
"Nu: 0.05, Gamma: 0.0001",4,1,44,6,18.18181818,0,40,,
"Nu: 0.05, Gamma: 0.0002",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.0003",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.0004",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.005",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.05",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.0625",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.1",5,0,41,9,25.45454545,0,40,,
"Nu: 0.05, Gamma: 0.2",5,0,46,4,16.36363636,0,40,,
"Nu: 0.05, Gamma: 0.5",4,1,46,4,14.54545455,0,40,,
"Nu: 0.05, Gamma: 0.7",2,3,40,10,21.81818182,0,40,,
"Nu: 0.05, Gamma: 0.9",1,4,36,14,27.27272727,0,40,,
"Nu: 0.05, Gamma: 0.99",1,4,37,13,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.0001",5,0,38,12,30.90909091,0,40,,
"Nu: 0.0625, Gamma: 0.0002",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.0003",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.0004",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.005",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.05",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.0625",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.1",5,0,41,9,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.2",5,0,39,11,29.09090909,0,40,,
"Nu: 0.0625, Gamma: 0.5",4,1,44,6,18.18181818,0,40,,
"Nu: 0.0625, Gamma: 0.7",2,3,38,12,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.9",1,4,37,13,25.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.99",1,4,37,13,25.45454545,0,40,,
"Nu: 0.1, Gamma: 0.0001",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.0002",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.0003",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.0004",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.005",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.05",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.0625",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.1",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.2",5,0,39,11,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.5",4,1,38,12,29.09090909,0,40,,
"Nu: 0.1, Gamma: 0.7",2,3,35,15,30.90909091,0,40,,
"Nu: 0.1, Gamma: 0.9",1,4,30,20,38.18181818,0,40,,
"Nu: 0.1, Gamma: 0.99",1,4,29,21,40,0,40,,
"Nu: 0.2, Gamma: 0.0001",5,0,37,13,32.72727273,0,40,,
"Nu: 0.2, Gamma: 0.0002",5,0,37,13,32.72727273,0,40,,
"Nu: 0.2, Gamma: 0.0003",5,0,37,13,32.72727273,0,40,,
"Nu: 0.2, Gamma: 0.0004",5,0,37,13,32.72727273,0,40,,
"Nu: 0.2, Gamma: 0.005",5,0,38,12,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.05",5,0,38,12,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.0625",5,0,38,12,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.1",5,0,38,12,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.2",5,0,38,12,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.5",4,1,39,11,27.27272727,0,40,,
"Nu: 0.2, Gamma: 0.7",3,2,36,14,30.90909091,0,40,,
"Nu: 0.2, Gamma: 0.9",1,4,31,19,36.36363636,0,40,,
"Nu: 0.2, Gamma: 0.99",1,4,29,21,40,0,40,,
"Nu: 0.5, Gamma: 0.0001",0,5,8,42,76.36363636,0,40,,
"Nu: 0.5, Gamma: 0.0002",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.0003",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.0004",3,2,22,28,56.36363636,0,40,,
"Nu: 0.5, Gamma: 0.005",3,2,21,29,58.18181818,0,40,,
