Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.5, Gamma: 0.005",12,12,96,21,23.40425532,0,40,,,
"Nu: 0.5, Gamma: 0.05",12,12,88,29,29.07801418,0,40,,,
"Nu: 0.5, Gamma: 0.0625",12,12,87,30,29.78723404,0,40,,,
"Nu: 0.5, Gamma: 0.1",12,12,85,32,31.20567376,0,40,,,
"Nu: 0.5, Gamma: 0.2",12,12,3,114,89.36170213,0,40,,,
"Nu: 0.5, Gamma: 0.5",10,14,0,117,90.07092199,0,40,,,
"Nu: 0.5, Gamma: 0.7",10,14,0,117,90.07092199,0,40,,,
"Nu: 0.5, Gamma: 0.9",12,12,0,117,91.4893617,0,40,,,
"Nu: 0.5, Gamma: 0.99",12,12,0,117,91.4893617,0,40,,,
"Nu: 0.7, Gamma: 0.0001",6,18,40,77,58.86524823,0,40,,,
"Nu: 0.7, Gamma: 0.0002",6,18,40,77,58.86524823,0,40,,,
"Nu: 0.7, Gamma: 0.0003",6,18,40,77,58.86524823,0,40,,,
"Nu: 0.7, Gamma: 0.0004",6,18,40,77,58.86524823,0,40,,,
"Nu: 0.7, Gamma: 0.005",6,18,34,83,63.12056738,0,40,,,
"Nu: 0.7, Gamma: 0.05",6,18,2,115,85.81560284,0,40,,,
"Nu: 0.7, Gamma: 0.0625",6,18,2,115,85.81560284,0,40,,,
"Nu: 0.7, Gamma: 0.1",6,18,1,116,86.5248227,0,40,,,
"Nu: 0.7, Gamma: 0.2",6,18,0,117,87.23404255,0,40,,,
"Nu: 0.7, Gamma: 0.5",5,19,0,117,86.5248227,0,40,,,
"Nu: 0.7, Gamma: 0.7",6,18,0,117,87.23404255,0,40,,,
"Nu: 0.7, Gamma: 0.9",7,17,0,117,87.94326241,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,17,0,117,87.94326241,0,40,,,
"Nu: 0.9, Gamma: 0.0001",4,20,0,117,85.81560284,0,40,,,
