Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
"Nu: 0.0004, Gamma: 0.7",10,4,9,27,74,0,40,,,
"Nu: 0.0004, Gamma: 0.9",10,4,9,27,74,0,40,,,
"Nu: 0.0004, Gamma: 0.99",6,8,6,30,72,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.005, Gamma: 0.0003",3,11,13,23,52,0,40,,,
"Nu: 0.005, Gamma: 0.0004",13,1,36,0,26,0,40,,,
"Nu: 0.005, Gamma: 0.005",13,1,36,0,26,0,40,,,
"Nu: 0.005, Gamma: 0.05",13,1,36,0,26,0,40,,,
"Nu: 0.005, Gamma: 0.0625",13,1,36,0,26,0,40,,,
"Nu: 0.005, Gamma: 0.1",13,1,32,4,34,0,40,,,
"Nu: 0.005, Gamma: 0.2",13,1,14,22,70,0,40,,,
"Nu: 0.005, Gamma: 0.5",10,4,9,27,74,0,40,,,
"Nu: 0.005, Gamma: 0.7",10,4,8,28,76,0,40,,,
"Nu: 0.005, Gamma: 0.9",10,4,6,30,80,0,40,,,
"Nu: 0.005, Gamma: 0.99",10,4,6,30,80,0,40,,,
"Nu: 0.05, Gamma: 0.0001",13,1,36,0,26,0,40,,,
"Nu: 0.05, Gamma: 0.0002",7,7,26,10,34,0,40,,,
"Nu: 0.05, Gamma: 0.0003",13,1,33,3,32,0,40,,,
"Nu: 0.05, Gamma: 0.0004",13,1,33,3,32,0,40,,,
"Nu: 0.05, Gamma: 0.005",13,1,33,3,32,0,40,,,
"Nu: 0.05, Gamma: 0.05",13,1,32,4,34,0,40,,,
"Nu: 0.05, Gamma: 0.0625",13,1,32,4,34,0,40,,,
"Nu: 0.05, Gamma: 0.1",13,1,28,8,42,0,40,,,
"Nu: 0.05, Gamma: 0.2",13,1,14,22,70,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,3,9,27,76,0,40,,,
"Nu: 0.05, Gamma: 0.7",10,4,8,28,76,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,4,6,30,80,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,4,6,30,80,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",10,4,30,6,32,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",10,4,30,6,32,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",10,4,30,6,32,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",10,4,30,6,32,0,40,,,
"Nu: 0.0625, Gamma: 0.005",13,1,32,4,34,0,40,,,
"Nu: 0.0625, Gamma: 0.05",13,1,31,5,36,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",13,1,31,5,36,0,40,,,
"Nu: 0.0625, Gamma: 0.1",13,1,27,9,44,0,40,,,
"Nu: 0.0625, Gamma: 0.2",13,1,13,23,72,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,3,9,27,76,0,40,,,
"Nu: 0.0625, Gamma: 0.7",10,4,8,28,76,0,40,,,
"Nu: 0.0625, Gamma: 0.9",10,4,6,30,80,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,4,6,30,80,0,40,,,
"Nu: 0.1, Gamma: 0.0001",11,3,33,3,28,0,40,,,
"Nu: 0.1, Gamma: 0.0002",13,1,31,5,36,0,40,,,
"Nu: 0.1, Gamma: 0.0003",13,1,31,5,36,0,40,,,
