Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.99, Gamma: 0.0001",0,6,18,31,56.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,6,6,43,78.18181818,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,6,6,43,78.18181818,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,6,1,48,87.27272727,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,6,1,48,87.27272727,0,40,,,
,,,,,,,,,,
Target Class: canneal_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,2,25,26,51.78571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,2,25,26,51.78571429,0,40,,,
"Nu: 0.0001, Gamma: 0.1",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,4,11,40,73.21428571,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,4,5,46,83.92857143,0,40,,,
"Nu: 0.0001, Gamma: 0.7",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.0001, Gamma: 0.9",4,1,31,20,42.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.99",3,2,29,22,44.64285714,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,4,11,40,73.21428571,0,40,,,
"Nu: 0.0002, Gamma: 0.5",3,2,37,14,30.35714286,0,40,,,
"Nu: 0.0002, Gamma: 0.7",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.0002, Gamma: 0.9",4,1,31,20,42.85714286,0,40,,,
