Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.0004, Gamma: 0.9",24,3,39,58,66.12903226,0,40,,,
"Nu: 0.0004, Gamma: 0.99",25,2,41,56,65.32258065,0,40,,,
"Nu: 0.005, Gamma: 0.0001",4,23,0,97,81.4516129,0,40,,,
"Nu: 0.005, Gamma: 0.0002",26,1,95,2,22.58064516,0,40,,,
"Nu: 0.005, Gamma: 0.0003",24,3,90,7,25,0,40,,,
"Nu: 0.005, Gamma: 0.0004",24,3,90,7,25,0,40,,,
"Nu: 0.005, Gamma: 0.005",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.005, Gamma: 0.05",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.005, Gamma: 0.0625",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.005, Gamma: 0.1",26,1,92,5,25,0,40,,,
"Nu: 0.005, Gamma: 0.2",25,2,84,13,30.64516129,0,40,,,
"Nu: 0.005, Gamma: 0.5",26,1,64,33,47.58064516,0,40,,,
"Nu: 0.005, Gamma: 0.7",25,2,44,53,62.90322581,0,40,,,
"Nu: 0.005, Gamma: 0.9",25,2,42,55,64.51612903,0,40,,,
"Nu: 0.005, Gamma: 0.99",25,2,41,56,65.32258065,0,40,,,
"Nu: 0.05, Gamma: 0.0001",18,9,66,31,39.51612903,0,40,,,
"Nu: 0.05, Gamma: 0.0002",25,2,84,13,30.64516129,0,40,,,
"Nu: 0.05, Gamma: 0.0003",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.05, Gamma: 0.0004",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.05, Gamma: 0.005",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.05, Gamma: 0.05",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.05, Gamma: 0.0625",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.05, Gamma: 0.1",24,3,79,18,33.87096774,0,40,,,
"Nu: 0.05, Gamma: 0.2",24,3,77,20,35.48387097,0,40,,,
"Nu: 0.05, Gamma: 0.5",24,3,54,43,54.03225806,0,40,,,
"Nu: 0.05, Gamma: 0.7",23,4,40,57,64.51612903,0,40,,,
"Nu: 0.05, Gamma: 0.9",23,4,37,60,66.93548387,0,40,,,
"Nu: 0.05, Gamma: 0.99",24,3,36,61,68.5483871,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",25,2,81,16,33.06451613,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",24,3,81,16,32.25806452,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",24,3,77,20,35.48387097,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",24,3,77,20,35.48387097,0,40,,,
"Nu: 0.0625, Gamma: 0.005",24,3,77,20,35.48387097,0,40,,,
"Nu: 0.0625, Gamma: 0.05",24,3,75,22,37.09677419,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",24,3,74,23,37.90322581,0,40,,,
"Nu: 0.0625, Gamma: 0.1",24,3,73,24,38.70967742,0,40,,,
"Nu: 0.0625, Gamma: 0.2",24,3,72,25,39.51612903,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,4,51,46,55.64516129,0,40,,,
"Nu: 0.0625, Gamma: 0.7",23,4,40,57,64.51612903,0,40,,,
"Nu: 0.0625, Gamma: 0.9",23,4,35,62,68.5483871,0,40,,,
"Nu: 0.0625, Gamma: 0.99",23,4,34,63,69.35483871,0,40,,,
"Nu: 0.1, Gamma: 0.0001",16,11,60,37,42.74193548,0,40,,,
"Nu: 0.1, Gamma: 0.0002",24,3,72,25,39.51612903,0,40,,,
"Nu: 0.1, Gamma: 0.0003",23,4,68,29,41.93548387,0,40,,,
"Nu: 0.1, Gamma: 0.0004",23,4,68,29,41.93548387,0,40,,,
"Nu: 0.1, Gamma: 0.005",23,4,67,30,42.74193548,0,40,,,
"Nu: 0.1, Gamma: 0.05",24,3,67,30,43.5483871,0,40,,,
"Nu: 0.1, Gamma: 0.0625",24,3,67,30,43.5483871,0,40,,,
"Nu: 0.1, Gamma: 0.1",24,3,64,33,45.96774194,0,40,,,
"Nu: 0.1, Gamma: 0.2",24,3,62,35,47.58064516,0,40,,,
"Nu: 0.1, Gamma: 0.5",23,4,51,46,55.64516129,0,40,,,
"Nu: 0.1, Gamma: 0.7",23,4,38,59,66.12903226,0,40,,,
"Nu: 0.1, Gamma: 0.9",23,4,35,62,68.5483871,0,40,,,
"Nu: 0.1, Gamma: 0.99",23,4,33,64,70.16129032,0,40,,,
"Nu: 0.2, Gamma: 0.0001",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.0002",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.0003",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.0004",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.005",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.05",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.0625",21,6,60,37,46.77419355,0,40,,,
"Nu: 0.2, Gamma: 0.1",21,6,60,37,46.77419355,0,40,,,
