Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.0003",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.05, Gamma: 0.0004",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.05, Gamma: 0.005",3,0,41,3,12.76595744680851,0,40,
"Nu: 0.05, Gamma: 0.05",3,0,33,11,29.78723404255319,0,40,
"Nu: 0.05, Gamma: 0.0625",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.05, Gamma: 0.1",3,0,20,24,57.446808510638306,0,40,
"Nu: 0.05, Gamma: 0.2",3,0,16,28,65.95744680851064,0,40,
"Nu: 0.05, Gamma: 0.5",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.05, Gamma: 0.7",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.05, Gamma: 0.9",3,0,1,43,97.87234042553192,0,40,
"Nu: 0.05, Gamma: 0.99",3,0,3,41,93.61702127659575,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,2,14,30,65.95744680851064,0,40,
"Nu: 0.0625, Gamma: 0.0002",3,0,18,26,61.702127659574465,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.0625, Gamma: 0.0004",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.0625, Gamma: 0.005",3,0,39,5,17.02127659574468,0,40,
"Nu: 0.0625, Gamma: 0.05",3,0,34,10,27.659574468085108,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,0,29,15,38.297872340425535,0,40,
"Nu: 0.0625, Gamma: 0.1",3,0,23,21,51.06382978723404,0,40,
"Nu: 0.0625, Gamma: 0.2",3,0,13,31,72.3404255319149,0,40,
"Nu: 0.0625, Gamma: 0.5",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.0625, Gamma: 0.7",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.0625, Gamma: 0.9",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.0625, Gamma: 0.99",3,0,0,44,100.0,0,40,
"Nu: 0.1, Gamma: 0.0001",3,0,41,3,12.76595744680851,0,40,
"Nu: 0.1, Gamma: 0.0002",3,0,7,37,85.1063829787234,0,40,
"Nu: 0.1, Gamma: 0.0003",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.1, Gamma: 0.0004",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.1, Gamma: 0.005",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.1, Gamma: 0.05",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.1, Gamma: 0.0625",3,0,31,13,34.04255319148936,0,40,
"Nu: 0.1, Gamma: 0.1",3,0,23,21,51.06382978723404,0,40,
"Nu: 0.1, Gamma: 0.2",3,0,16,28,65.95744680851064,0,40,
"Nu: 0.1, Gamma: 0.5",3,0,1,43,97.87234042553192,0,40,
"Nu: 0.1, Gamma: 0.7",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.1, Gamma: 0.9",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.1, Gamma: 0.99",3,0,0,44,100.0,0,40,
"Nu: 0.2, Gamma: 0.0001",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.2, Gamma: 0.0002",3,0,22,22,53.191489361702125,0,40,
"Nu: 0.2, Gamma: 0.0003",3,0,22,22,53.191489361702125,0,40,
"Nu: 0.2, Gamma: 0.0004",3,0,22,22,53.191489361702125,0,40,
"Nu: 0.2, Gamma: 0.005",3,0,21,23,55.319148936170215,0,40,
"Nu: 0.2, Gamma: 0.05",3,0,20,24,57.446808510638306,0,40,
"Nu: 0.2, Gamma: 0.0625",3,0,19,25,59.57446808510638,0,40,
"Nu: 0.2, Gamma: 0.1",3,0,15,29,68.08510638297872,0,40,
"Nu: 0.2, Gamma: 0.2",3,0,1,43,97.87234042553192,0,40,
"Nu: 0.2, Gamma: 0.5",3,0,0,44,100.0,0,40,
"Nu: 0.2, Gamma: 0.7",3,0,1,43,97.87234042553192,0,40,
"Nu: 0.2, Gamma: 0.9",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.2, Gamma: 0.99",3,0,0,44,100.0,0,40,
"Nu: 0.5, Gamma: 0.0001",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.0002",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.0003",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.0004",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.005",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.05",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.0625",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.1",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.2",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.5",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.7",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.9",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.5, Gamma: 0.99",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.7, Gamma: 0.0001",1,2,0,44,95.74468085106383,0,40,
