Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.0003, Gamma: 0.5",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.7",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.2",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.005",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.05",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.0625",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.1",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,1,20,11,40,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.7",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.0001",0,4,6,25,71.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,31,0,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.0004",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.005",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.05",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.0625",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.05, Gamma: 0.1",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.2",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.5",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",0,4,3,28,80,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,31,0,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,31,0,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,31,0,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.05",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,31,0,8.571428571,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,2,22,9,31.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,17,14,45.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0001",0,4,7,24,68.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0002",0,4,7,24,68.57142857,0,40,,,
