Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.005, Gamma: 0.05",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.5",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,24,7,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.99",3,1,20,11,40,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,30,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0004",3,1,30,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.2",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,25,6,25.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,24,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,30,1,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,25,6,25.71428571,0,40,,,
