Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63126844,116
"Nu: 0.05, Gamma: 0.9",125,9,193,38,44.65753425,0,40,,,
"Nu: 0.05, Gamma: 0.99",124,10,192,39,44.65753425,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.005",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.05",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.1",122,12,229,2,33.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.2",120,14,228,3,33.69863014,0,40,,,
"Nu: 0.0625, Gamma: 0.5",123,11,204,27,41.09589041,0,40,,,
"Nu: 0.0625, Gamma: 0.7",123,11,198,33,42.73972603,0,40,,,
"Nu: 0.0625, Gamma: 0.9",123,11,193,38,44.10958904,0,40,,,
"Nu: 0.0625, Gamma: 0.99",121,13,193,38,43.56164384,0,40,,,
"Nu: 0.1, Gamma: 0.0001",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.0002",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.0003",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.0004",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.005",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.05",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.0625",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.1",118,16,226,5,33.69863014,0,40,,,
"Nu: 0.1, Gamma: 0.2",115,19,225,6,33.15068493,0,40,,,
"Nu: 0.1, Gamma: 0.5",116,18,202,29,39.7260274,0,40,,,
"Nu: 0.1, Gamma: 0.7",116,18,196,35,41.36986301,0,40,,,
"Nu: 0.1, Gamma: 0.9",118,16,193,38,42.73972603,0,40,,,
"Nu: 0.1, Gamma: 0.99",114,20,193,38,41.64383562,0,40,,,
"Nu: 0.2, Gamma: 0.0001",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.0002",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.0003",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.0004",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.005",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.05",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.0625",107,27,225,6,30.95890411,0,40,,,
"Nu: 0.2, Gamma: 0.1",107,27,224,7,31.23287671,0,40,,,
"Nu: 0.2, Gamma: 0.2",107,27,198,33,38.35616438,0,40,,,
"Nu: 0.2, Gamma: 0.5",103,31,191,40,39.17808219,0,40,,,
"Nu: 0.2, Gamma: 0.7",109,25,186,45,42.19178082,0,40,,,
"Nu: 0.2, Gamma: 0.9",107,27,186,45,41.64383562,0,40,,,
"Nu: 0.2, Gamma: 0.99",108,26,182,49,43.01369863,0,40,,,
"Nu: 0.5, Gamma: 0.0001",69,65,183,48,32.05479452,0,40,,,
"Nu: 0.5, Gamma: 0.0002",69,65,183,48,32.05479452,0,40,,,
"Nu: 0.5, Gamma: 0.0003",70,64,183,48,32.32876712,0,40,,,
"Nu: 0.5, Gamma: 0.0004",70,64,183,48,32.32876712,0,40,,,
"Nu: 0.5, Gamma: 0.005",70,64,183,48,32.32876712,0,40,,,
"Nu: 0.5, Gamma: 0.05",70,64,183,48,32.32876712,0,40,,,
"Nu: 0.5, Gamma: 0.0625",70,64,182,49,32.60273973,0,40,,,
"Nu: 0.5, Gamma: 0.1",70,64,181,50,32.87671233,0,40,,,
"Nu: 0.5, Gamma: 0.2",71,63,182,49,32.87671233,0,40,,,
"Nu: 0.5, Gamma: 0.5",67,67,164,67,36.71232877,0,40,,,
"Nu: 0.5, Gamma: 0.7",66,68,152,79,39.7260274,0,40,,,
"Nu: 0.5, Gamma: 0.9",59,75,150,81,38.35616438,0,40,,,
"Nu: 0.5, Gamma: 0.99",64,70,149,82,40,0,40,,,
"Nu: 0.7, Gamma: 0.0001",43,91,10,221,72.32876712,0,40,,,
"Nu: 0.7, Gamma: 0.0002",43,91,10,221,72.32876712,0,40,,,
"Nu: 0.7, Gamma: 0.0003",43,91,10,221,72.32876712,0,40,,,
"Nu: 0.7, Gamma: 0.0004",43,91,10,221,72.32876712,0,40,,,
"Nu: 0.7, Gamma: 0.005",44,90,10,221,72.60273973,0,40,,,
"Nu: 0.7, Gamma: 0.05",44,90,10,221,72.60273973,0,40,,,
"Nu: 0.7, Gamma: 0.0625",44,90,10,221,72.60273973,0,40,,,
"Nu: 0.7, Gamma: 0.1",45,89,10,221,72.87671233,0,40,,,
"Nu: 0.7, Gamma: 0.2",49,85,9,222,74.24657534,0,40,,,
"Nu: 0.7, Gamma: 0.5",47,87,161,70,32.05479452,0,40,,,
"Nu: 0.7, Gamma: 0.7",37,97,162,69,29.04109589,0,40,,,
"Nu: 0.7, Gamma: 0.9",38,96,156,75,30.95890411,0,40,,,
"Nu: 0.7, Gamma: 0.99",37,97,153,78,31.50684932,0,40,,,
"Nu: 0.9, Gamma: 0.0001",18,116,1,230,67.94520548,0,40,,,
"Nu: 0.9, Gamma: 0.0002",18,116,1,230,67.94520548,0,40,,,
"Nu: 0.9, Gamma: 0.0003",18,116,1,230,67.94520548,0,40,,,
"Nu: 0.9, Gamma: 0.0004",18,116,1,230,67.94520548,0,40,,,
"Nu: 0.9, Gamma: 0.005",18,116,1,230,67.94520548,0,40,,,
"Nu: 0.9, Gamma: 0.05",19,115,0,231,68.49315068,0,40,,,
"Nu: 0.9, Gamma: 0.0625",19,115,0,231,68.49315068,0,40,,,
"Nu: 0.9, Gamma: 0.1",18,116,0,231,68.21917808,0,40,,,
"Nu: 0.9, Gamma: 0.2",16,118,0,231,67.67123288,0,40,,,
"Nu: 0.9, Gamma: 0.5",16,118,0,231,67.67123288,0,40,,,
"Nu: 0.9, Gamma: 0.7",14,120,148,83,26.57534247,0,40,,,
