Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67105263,804
"Nu: 0.1, Gamma: 0.9",27,3,2,114,96.57534247,0,40,,,
"Nu: 0.1, Gamma: 0.99",27,3,3,113,95.89041096,0,40,,,
"Nu: 0.2, Gamma: 0.0001",25,5,106,10,23.97260274,0,40,,,
"Nu: 0.2, Gamma: 0.0002",25,5,106,10,23.97260274,0,40,,,
"Nu: 0.2, Gamma: 0.0003",25,5,106,10,23.97260274,0,40,,,
"Nu: 0.2, Gamma: 0.0004",24,6,106,10,23.28767123,0,40,,,
"Nu: 0.2, Gamma: 0.005",24,6,106,10,23.28767123,0,40,,,
"Nu: 0.2, Gamma: 0.05",23,7,103,13,24.65753425,0,40,,,
"Nu: 0.2, Gamma: 0.0625",23,7,102,14,25.34246575,0,40,,,
"Nu: 0.2, Gamma: 0.1",23,7,99,17,27.39726027,0,40,,,
"Nu: 0.2, Gamma: 0.2",25,5,32,84,74.65753425,0,40,,,
"Nu: 0.2, Gamma: 0.5",23,7,1,115,94.52054795,0,40,,,
"Nu: 0.2, Gamma: 0.7",23,7,1,115,94.52054795,0,40,,,
"Nu: 0.2, Gamma: 0.9",23,7,0,116,95.20547945,0,40,,,
"Nu: 0.2, Gamma: 0.99",22,8,0,116,94.52054795,0,40,,,
"Nu: 0.5, Gamma: 0.0001",13,17,103,13,17.80821918,0,40,,,
"Nu: 0.5, Gamma: 0.0002",15,15,104,12,18.49315068,0,40,,,
"Nu: 0.5, Gamma: 0.0003",15,15,104,12,18.49315068,0,40,,,
"Nu: 0.5, Gamma: 0.0004",15,15,104,12,18.49315068,0,40,,,
"Nu: 0.5, Gamma: 0.005",15,15,103,13,19.17808219,0,40,,,
"Nu: 0.5, Gamma: 0.05",14,16,100,16,20.54794521,0,40,,,
"Nu: 0.5, Gamma: 0.0625",14,16,100,16,20.54794521,0,40,,,
"Nu: 0.5, Gamma: 0.1",14,16,98,18,21.91780822,0,40,,,
"Nu: 0.5, Gamma: 0.2",16,14,33,83,67.80821918,0,40,,,
"Nu: 0.5, Gamma: 0.5",14,16,0,116,89.04109589,0,40,,,
"Nu: 0.5, Gamma: 0.7",14,16,0,116,89.04109589,0,40,,,
"Nu: 0.5, Gamma: 0.9",14,16,0,116,89.04109589,0,40,,,
"Nu: 0.5, Gamma: 0.99",14,16,0,116,89.04109589,0,40,,,
"Nu: 0.7, Gamma: 0.0001",9,21,96,20,19.8630137,0,40,,,
"Nu: 0.7, Gamma: 0.0002",9,21,96,20,19.8630137,0,40,,,
"Nu: 0.7, Gamma: 0.0003",9,21,96,20,19.8630137,0,40,,,
"Nu: 0.7, Gamma: 0.0004",9,21,96,20,19.8630137,0,40,,,
"Nu: 0.7, Gamma: 0.005",9,21,96,20,19.8630137,0,40,,,
