Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.05, Gamma: 0.2",13,0,82,29,33.87096774,0,40
"Nu: 0.05, Gamma: 0.5",12,1,81,30,33.87096774,0,40
"Nu: 0.05, Gamma: 0.7",10,3,78,33,34.67741935,0,40
"Nu: 0.05, Gamma: 0.9",11,2,73,38,39.51612903,0,40
"Nu: 0.05, Gamma: 0.99",11,2,72,39,40.32258065,0,40
"Nu: 0.0625, Gamma: 0.0001",13,0,105,6,15.32258065,0,40
"Nu: 0.0625, Gamma: 0.0002",13,0,105,6,15.32258065,0,40
"Nu: 0.0625, Gamma: 0.0003",13,0,105,6,15.32258065,0,40
"Nu: 0.0625, Gamma: 0.0004",13,0,105,6,15.32258065,0,40
"Nu: 0.0625, Gamma: 0.005",13,0,84,27,32.25806452,0,40
"Nu: 0.0625, Gamma: 0.05",13,0,86,25,30.64516129,0,40
"Nu: 0.0625, Gamma: 0.0625",13,0,86,25,30.64516129,0,40
"Nu: 0.0625, Gamma: 0.1",13,0,83,28,33.06451613,0,40
"Nu: 0.0625, Gamma: 0.2",12,1,79,32,35.48387097,0,40
"Nu: 0.0625, Gamma: 0.5",12,1,79,32,35.48387097,0,40
"Nu: 0.0625, Gamma: 0.7",10,3,78,33,34.67741935,0,40
"Nu: 0.0625, Gamma: 0.9",11,2,73,38,39.51612903,0,40
"Nu: 0.0625, Gamma: 0.99",11,2,72,39,40.32258065,0,40
"Nu: 0.1, Gamma: 0.0001",11,2,81,30,33.06451613,0,40
"Nu: 0.1, Gamma: 0.0002",11,2,81,30,33.06451613,0,40
"Nu: 0.1, Gamma: 0.0003",11,2,81,30,33.06451613,0,40
"Nu: 0.1, Gamma: 0.0004",13,0,85,26,31.4516129,0,40
"Nu: 0.1, Gamma: 0.005",12,1,84,27,31.4516129,0,40
"Nu: 0.1, Gamma: 0.05",12,1,83,28,32.25806452,0,40
"Nu: 0.1, Gamma: 0.0625",12,1,82,29,33.06451613,0,40
"Nu: 0.1, Gamma: 0.1",13,0,80,31,35.48387097,0,40
"Nu: 0.1, Gamma: 0.2",11,2,79,32,34.67741935,0,40
"Nu: 0.1, Gamma: 0.5",11,2,75,36,37.90322581,0,40
"Nu: 0.1, Gamma: 0.7",10,3,70,41,41.12903226,0,40
