Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.1, Gamma: 0.0001",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.0002",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.0003",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.0004",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.005",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.05",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.0625",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.1",116,11,226,4,33.61344538,0,40,,,
"Nu: 0.1, Gamma: 0.2",116,11,223,7,34.45378151,0,40,,,
"Nu: 0.1, Gamma: 0.5",115,12,196,34,41.73669468,0,40,,,
"Nu: 0.1, Gamma: 0.7",115,12,181,49,45.93837535,0,40,,,
"Nu: 0.1, Gamma: 0.9",110,17,184,46,43.69747899,0,40,,,
"Nu: 0.1, Gamma: 0.99",110,17,175,55,46.21848739,0,40,,,
"Nu: 0.2, Gamma: 0.0001",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.0002",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.0003",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.0004",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.005",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.05",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.0625",101,26,223,7,30.25210084,0,40,,,
"Nu: 0.2, Gamma: 0.1",102,25,221,9,31.09243697,0,40,,,
"Nu: 0.2, Gamma: 0.2",103,24,189,41,40.33613445,0,40,,,
"Nu: 0.2, Gamma: 0.5",101,26,188,42,40.05602241,0,40,,,
"Nu: 0.2, Gamma: 0.7",98,29,179,51,41.73669468,0,40,,,
"Nu: 0.2, Gamma: 0.9",99,28,176,54,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.99",99,28,171,59,44.25770308,0,40,,,
"Nu: 0.5, Gamma: 0.0001",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.0002",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.0003",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.0004",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.005",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.05",55,72,188,42,27.17086835,0,40,,,
"Nu: 0.5, Gamma: 0.0625",56,71,188,42,27.45098039,0,40,,,
"Nu: 0.5, Gamma: 0.1",56,71,188,42,27.45098039,0,40,,,
"Nu: 0.5, Gamma: 0.2",55,72,164,66,33.89355742,0,40,,,
"Nu: 0.5, Gamma: 0.5",56,71,149,81,38.37535014,0,40,,,
