Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.61904762,157
"Nu: 0.0004, Gamma: 0.0002",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0004, Gamma: 0.005",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.05",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.0004, Gamma: 0.1",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,1,17,19,63.26530612,0,40,,,
"Nu: 0.0004, Gamma: 0.5",7,6,11,25,65.30612245,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,2,10,26,75.51020408,0,40,,,
"Nu: 0.0004, Gamma: 0.9",11,2,6,30,83.67346939,0,40,,,
"Nu: 0.0004, Gamma: 0.99",10,3,3,33,87.75510204,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.005, Gamma: 0.0002",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0003",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0004",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.005",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.005, Gamma: 0.05",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.005, Gamma: 0.0625",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.005, Gamma: 0.1",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,1,20,16,57.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.5",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.005, Gamma: 0.7",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.005, Gamma: 0.9",11,2,7,29,81.63265306,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.05, Gamma: 0.0001",6,7,19,17,46.93877551,0,40,,,
"Nu: 0.05, Gamma: 0.0002",10,3,30,6,32.65306122,0,40,,,
"Nu: 0.05, Gamma: 0.0003",10,3,30,6,32.65306122,0,40,,,
"Nu: 0.05, Gamma: 0.0004",10,3,30,6,32.65306122,0,40,,,
"Nu: 0.05, Gamma: 0.005",11,2,30,6,34.69387755,0,40,,,
"Nu: 0.05, Gamma: 0.05",13,0,30,6,38.7755102,0,40,,,
"Nu: 0.05, Gamma: 0.0625",13,0,30,6,38.7755102,0,40,,,
"Nu: 0.05, Gamma: 0.1",13,0,26,10,46.93877551,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,1,17,19,63.26530612,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,2,7,29,81.63265306,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,11,11,25,55.10204082,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",13,0,30,6,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",10,3,30,6,32.65306122,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",10,3,29,7,34.69387755,0,40,,,
"Nu: 0.0625, Gamma: 0.005",13,0,31,5,36.73469388,0,40,,,
"Nu: 0.0625, Gamma: 0.05",13,0,30,6,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",13,0,29,7,40.81632653,0,40,,,
"Nu: 0.0625, Gamma: 0.1",13,0,25,11,48.97959184,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,1,17,19,63.26530612,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,2,7,29,81.63265306,0,40,,,
"Nu: 0.0625, Gamma: 0.99",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,3,29,7,34.69387755,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,3,26,10,40.81632653,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,3,26,10,40.81632653,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,3,26,10,40.81632653,0,40,,,
"Nu: 0.1, Gamma: 0.005",13,0,29,7,40.81632653,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,1,25,11,46.93877551,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,1,24,12,48.97959184,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,1,23,13,51.02040816,0,40,,,
"Nu: 0.1, Gamma: 0.2",11,2,16,20,63.26530612,0,40,,,
"Nu: 0.1, Gamma: 0.5",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.1, Gamma: 0.7",11,2,9,27,77.55102041,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.1, Gamma: 0.99",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.2, Gamma: 0.0001",11,2,28,8,38.7755102,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,2,27,9,40.81632653,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,2,27,9,40.81632653,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,2,27,9,40.81632653,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,2,27,9,40.81632653,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,2,25,11,44.89795918,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,2,24,12,46.93877551,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,2,23,13,48.97959184,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,2,18,18,59.18367347,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,3,8,28,77.55102041,0,40,,,
"Nu: 0.2, Gamma: 0.7",10,3,3,33,87.75510204,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,2,3,33,89.79591837,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,7,15,21,55.10204082,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,7,15,21,55.10204082,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,7,15,21,55.10204082,0,40,,,
"Nu: 0.5, Gamma: 0.0004",5,8,14,22,55.10204082,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,7,14,22,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,7,11,25,63.26530612,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,7,11,25,63.26530612,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,7,11,25,63.26530612,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,7,9,27,67.34693878,0,40,,,
"Nu: 0.5, Gamma: 0.5",8,5,3,33,83.67346939,0,40,,,
"Nu: 0.5, Gamma: 0.7",6,7,1,35,83.67346939,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,6,0,36,87.75510204,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,6,0,36,87.75510204,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,11,5,31,67.34693878,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,10,10,26,59.18367347,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,10,10,26,59.18367347,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,10,8,28,63.26530612,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,10,8,28,63.26530612,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,10,7,29,65.30612245,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,10,7,29,65.30612245,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,10,7,29,65.30612245,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,10,6,30,67.34693878,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,11,1,35,75.51020408,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,8,0,36,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.9",5,8,0,36,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,9,0,36,81.63265306,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,12,1,35,73.46938776,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,12,0,36,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,12,0,36,75.51020408,0,40,,,
