Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.5, Gamma: 0.2",7,7,17,20,52.94117647058824,0,40,
"Nu: 0.5, Gamma: 0.5",7,7,10,27,66.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.7",7,7,10,27,66.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.9",7,7,10,27,66.66666666666666,0,40,
"Nu: 0.5, Gamma: 0.99",7,7,8,29,70.58823529411765,0,40,
"Nu: 0.7, Gamma: 0.0001",2,12,16,21,45.09803921568628,0,40,
"Nu: 0.7, Gamma: 0.0002",2,12,15,22,47.05882352941176,0,40,
"Nu: 0.7, Gamma: 0.0003",2,12,15,22,47.05882352941176,0,40,
"Nu: 0.7, Gamma: 0.0004",2,12,15,22,47.05882352941176,0,40,
"Nu: 0.7, Gamma: 0.005",2,12,15,22,47.05882352941176,0,40,
"Nu: 0.7, Gamma: 0.05",2,12,14,23,49.01960784313725,0,40,
"Nu: 0.7, Gamma: 0.0625",2,12,12,25,52.94117647058824,0,40,
"Nu: 0.7, Gamma: 0.1",2,12,11,26,54.90196078431373,0,40,
"Nu: 0.7, Gamma: 0.2",3,11,10,27,58.82352941176471,0,40,
"Nu: 0.7, Gamma: 0.5",1,13,8,29,58.82352941176471,0,40,
"Nu: 0.7, Gamma: 0.7",3,11,5,32,68.62745098039215,0,40,
"Nu: 0.7, Gamma: 0.9",4,10,5,32,70.58823529411765,0,40,
"Nu: 0.7, Gamma: 0.99",4,10,5,32,70.58823529411765,0,40,
"Nu: 0.9, Gamma: 0.0001",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.0002",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.0003",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.0004",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.005",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.05",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.0625",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.1",0,14,8,29,56.86274509803921,0,40,
"Nu: 0.9, Gamma: 0.2",0,14,7,30,58.82352941176471,0,40,
"Nu: 0.9, Gamma: 0.5",1,13,3,34,68.62745098039215,0,40,
"Nu: 0.9, Gamma: 0.7",1,13,2,35,70.58823529411765,0,40,
"Nu: 0.9, Gamma: 0.9",1,13,2,35,70.58823529411765,0,40,
"Nu: 0.9, Gamma: 0.99",1,13,1,36,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.0001",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.0002",0,14,0,37,72.54901960784314,0,40,
