Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.2, Gamma: 0.005",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.05",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.0625",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.1",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.2",3,0,21,11,40.0,0,40,
"Nu: 0.2, Gamma: 0.5",3,0,22,10,37.142857142857146,0,40,
"Nu: 0.2, Gamma: 0.7",3,0,22,10,37.142857142857146,0,40,
"Nu: 0.2, Gamma: 0.9",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.2, Gamma: 0.99",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.0001",2,1,16,16,51.42857142857142,0,40,
"Nu: 0.5, Gamma: 0.0002",3,0,10,22,71.42857142857143,0,40,
"Nu: 0.5, Gamma: 0.0003",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.0004",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.005",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.05",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.0625",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.1",3,0,16,16,54.285714285714285,0,40,
"Nu: 0.5, Gamma: 0.2",3,0,12,20,65.71428571428571,0,40,
"Nu: 0.5, Gamma: 0.5",3,0,11,21,68.57142857142857,0,40,
"Nu: 0.5, Gamma: 0.7",3,0,12,20,65.71428571428571,0,40,
"Nu: 0.5, Gamma: 0.9",3,0,12,20,65.71428571428571,0,40,
"Nu: 0.5, Gamma: 0.99",3,0,12,20,65.71428571428571,0,40,
"Nu: 0.7, Gamma: 0.0001",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.0002",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.0003",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.0004",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.005",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.05",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.0625",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.1",2,1,9,23,71.42857142857143,0,40,
"Nu: 0.7, Gamma: 0.2",1,2,7,25,74.28571428571429,0,40,
"Nu: 0.7, Gamma: 0.5",1,2,0,32,94.28571428571428,0,40,
