Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0004, Gamma: 0.1",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0004, Gamma: 0.2",4,0,45,6,18.181818181818183,0,40,
"Nu: 0.0004, Gamma: 0.5",0,4,8,43,78.18181818181819,0,40,
"Nu: 0.0004, Gamma: 0.7",4,0,31,20,43.63636363636363,0,40,
"Nu: 0.0004, Gamma: 0.9",4,0,33,18,40.0,0,40,
"Nu: 0.0004, Gamma: 0.99",2,2,41,10,21.818181818181817,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.005, Gamma: 0.005",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.05",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.0625",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.1",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.2",3,1,33,18,38.18181818181819,0,40,
"Nu: 0.005, Gamma: 0.5",4,0,30,21,45.45454545454545,0,40,
"Nu: 0.005, Gamma: 0.7",2,2,42,9,20.0,0,40,
"Nu: 0.005, Gamma: 0.9",4,0,34,17,38.18181818181819,0,40,
"Nu: 0.005, Gamma: 0.99",4,0,30,21,45.45454545454545,0,40,
"Nu: 0.05, Gamma: 0.0001",4,0,50,1,9.090909090909092,0,40,
"Nu: 0.05, Gamma: 0.0002",4,0,50,1,9.090909090909092,0,40,
"Nu: 0.05, Gamma: 0.0003",4,0,50,1,9.090909090909092,0,40,
"Nu: 0.05, Gamma: 0.0004",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.005",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.05",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.0625",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.1",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.2",4,0,33,18,40.0,0,40,
"Nu: 0.05, Gamma: 0.5",4,0,35,16,36.36363636363637,0,40,
"Nu: 0.05, Gamma: 0.7",4,0,41,10,25.454545454545453,0,40,
"Nu: 0.05, Gamma: 0.9",4,0,38,13,30.909090909090907,0,40,
"Nu: 0.05, Gamma: 0.99",4,0,37,14,32.72727272727273,0,40,
"Nu: 0.0625, Gamma: 0.0001",0,4,33,18,32.72727272727273,0,40,
"Nu: 0.0625, Gamma: 0.0002",0,4,33,18,32.72727272727273,0,40,
"Nu: 0.0625, Gamma: 0.0003",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.0004",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.005",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.05",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.0625",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.1",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.0625, Gamma: 0.2",4,0,34,17,38.18181818181819,0,40,
"Nu: 0.0625, Gamma: 0.5",4,0,36,15,34.54545454545455,0,40,
"Nu: 0.0625, Gamma: 0.7",4,0,41,10,25.454545454545453,0,40,
"Nu: 0.0625, Gamma: 0.9",4,0,39,12,29.09090909090909,0,40,
"Nu: 0.0625, Gamma: 0.99",4,0,35,16,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.0001",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.1, Gamma: 0.0002",4,0,50,1,9.090909090909092,0,40,
"Nu: 0.1, Gamma: 0.0003",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.0004",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.005",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.05",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.0625",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.1",4,0,49,2,10.909090909090908,0,40,
"Nu: 0.1, Gamma: 0.2",4,0,33,18,40.0,0,40,
"Nu: 0.1, Gamma: 0.5",4,0,35,16,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.7",4,0,40,11,27.27272727272727,0,40,
