Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.58156028,14
"Nu: 0.05, Gamma: 0.1",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.05, Gamma: 0.2",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.05, Gamma: 0.5",14,0,23,14,54.90196078,0,40,,,
"Nu: 0.05, Gamma: 0.7",14,0,22,15,56.8627451,0,40,,,
"Nu: 0.05, Gamma: 0.9",13,1,19,18,60.78431373,0,40,,,
"Nu: 0.05, Gamma: 0.99",13,1,16,21,66.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",14,0,33,4,35.29411765,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",14,0,32,5,37.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",14,0,32,5,37.25490196,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.0625, Gamma: 0.005",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.0625, Gamma: 0.05",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.0625, Gamma: 0.1",14,0,30,7,41.17647059,0,40,,,
"Nu: 0.0625, Gamma: 0.2",14,0,28,9,45.09803922,0,40,,,
"Nu: 0.0625, Gamma: 0.5",14,0,23,14,54.90196078,0,40,,,
"Nu: 0.0625, Gamma: 0.7",14,0,22,15,56.8627451,0,40,,,
"Nu: 0.0625, Gamma: 0.9",13,1,18,19,62.74509804,0,40,,,
"Nu: 0.0625, Gamma: 0.99",13,1,17,20,64.70588235,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,7,28,9,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.0002",7,7,28,9,31.37254902,0,40,,,
"Nu: 0.1, Gamma: 0.0003",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.0004",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.005",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.05",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.0625",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.1",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.1, Gamma: 0.2",14,0,28,9,45.09803922,0,40,,,
"Nu: 0.1, Gamma: 0.5",13,1,23,14,52.94117647,0,40,,,
"Nu: 0.1, Gamma: 0.7",14,0,21,16,58.82352941,0,40,,,
"Nu: 0.1, Gamma: 0.9",13,1,17,20,64.70588235,0,40,,,
"Nu: 0.1, Gamma: 0.99",13,1,16,21,66.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0001",6,8,26,11,33.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.0002",6,8,27,10,31.37254902,0,40,,,
"Nu: 0.2, Gamma: 0.0003",6,8,26,11,33.33333333,0,40,,,
