Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.0003, Gamma: 0.0003",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.005",24,0,114,2,18.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",24,0,112,4,20,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",24,0,111,5,20.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.1",24,0,110,6,21.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.2",23,1,64,52,53.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.5",24,0,20,96,85.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.7",24,0,20,96,85.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.9",23,1,18,98,86.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.99",24,0,14,102,90,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.005",24,0,114,2,18.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.05",24,0,112,4,20,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",24,0,111,5,20.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.1",24,0,110,6,21.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.2",24,0,58,58,58.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.5",24,0,21,95,85,0,40,,,
"Nu: 0.0004, Gamma: 0.7",24,0,20,96,85.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.9",24,0,18,98,87.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.99",24,0,14,102,90,0,40,,,
"Nu: 0.005, Gamma: 0.0001",6,18,69,47,37.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.0002",6,18,69,47,37.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.0003",24,0,115,1,17.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.0004",24,0,115,1,17.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.005",24,0,114,2,18.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.05",24,0,114,2,18.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.0625",24,0,112,4,20,0,40,,,
"Nu: 0.005, Gamma: 0.1",24,0,110,6,21.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.2",24,0,59,57,57.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.5",24,0,21,95,85,0,40,,,
"Nu: 0.005, Gamma: 0.7",24,0,19,97,86.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.9",24,0,16,100,88.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.99",23,1,14,102,89.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.0001",22,2,112,4,18.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.0002",22,2,112,4,18.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.0003",22,2,110,6,20,0,40,,,
"Nu: 0.05, Gamma: 0.0004",21,3,111,5,18.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.005",22,2,112,4,18.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.05",22,2,109,7,20.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.0625",22,2,108,8,21.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.1",22,2,106,10,22.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.2",22,2,62,54,54.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,1,19,97,85.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.7",24,0,17,99,87.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.9",24,0,13,103,90.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.99",24,0,12,104,91.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",22,2,110,6,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",22,2,111,5,19.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",22,2,111,5,19.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",22,2,111,5,19.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.005",22,2,111,5,19.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.05",22,2,109,7,20.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",22,2,108,8,21.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.1",22,2,106,10,22.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.2",22,2,60,56,55.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,1,18,98,86.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.7",23,1,17,99,87.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.9",23,1,13,103,90,0,40,,,
"Nu: 0.0625, Gamma: 0.99",23,1,12,104,90.71428571,0,40,,,
