Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.5",24,3,50,47,57.25806451612904,0,40,
"Nu: 0.0001, Gamma: 0.7",24,3,47,50,59.67741935483871,0,40,
"Nu: 0.0001, Gamma: 0.9",24,3,39,58,66.12903225806451,0,40,
"Nu: 0.0001, Gamma: 0.99",22,5,34,63,68.54838709677419,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0002, Gamma: 0.005",10,17,69,28,30.64516129032258,0,40,
"Nu: 0.0002, Gamma: 0.05",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0002, Gamma: 0.0625",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0002, Gamma: 0.1",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0002, Gamma: 0.2",25,2,84,13,30.64516129032258,0,40,
"Nu: 0.0002, Gamma: 0.5",26,1,68,29,44.354838709677416,0,40,
"Nu: 0.0002, Gamma: 0.7",25,2,44,53,62.903225806451616,0,40,
"Nu: 0.0002, Gamma: 0.9",24,3,38,59,66.93548387096774,0,40,
"Nu: 0.0002, Gamma: 0.99",25,2,41,56,65.32258064516128,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0003, Gamma: 0.005",25,2,93,4,23.387096774193548,0,40,
"Nu: 0.0003, Gamma: 0.05",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0003, Gamma: 0.0625",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0003, Gamma: 0.1",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0003, Gamma: 0.2",25,2,84,13,30.64516129032258,0,40,
"Nu: 0.0003, Gamma: 0.5",26,1,68,29,44.354838709677416,0,40,
"Nu: 0.0003, Gamma: 0.7",25,2,44,53,62.903225806451616,0,40,
"Nu: 0.0003, Gamma: 0.9",24,3,39,58,66.12903225806451,0,40,
"Nu: 0.0003, Gamma: 0.99",25,2,42,55,64.51612903225806,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0004, Gamma: 0.005",25,2,93,4,23.387096774193548,0,40,
"Nu: 0.0004, Gamma: 0.05",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0004, Gamma: 0.0625",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.0004, Gamma: 0.1",26,1,92,5,25.0,0,40,
"Nu: 0.0004, Gamma: 0.2",25,2,83,14,31.451612903225808,0,40,
"Nu: 0.0004, Gamma: 0.5",26,1,67,30,45.16129032258064,0,40,
"Nu: 0.0004, Gamma: 0.7",26,1,46,51,62.096774193548384,0,40,
"Nu: 0.0004, Gamma: 0.9",24,3,39,58,66.12903225806451,0,40,
"Nu: 0.0004, Gamma: 0.99",25,2,41,56,65.32258064516128,0,40,
"Nu: 0.005, Gamma: 0.0001",4,23,0,97,81.45161290322581,0,40,
"Nu: 0.005, Gamma: 0.0002",26,1,95,2,22.58064516129032,0,40,
"Nu: 0.005, Gamma: 0.0003",24,3,90,7,25.0,0,40,
"Nu: 0.005, Gamma: 0.0004",24,3,90,7,25.0,0,40,
"Nu: 0.005, Gamma: 0.005",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.005, Gamma: 0.05",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.005, Gamma: 0.0625",26,1,93,4,24.193548387096776,0,40,
"Nu: 0.005, Gamma: 0.1",26,1,92,5,25.0,0,40,
"Nu: 0.005, Gamma: 0.2",25,2,84,13,30.64516129032258,0,40,
"Nu: 0.005, Gamma: 0.5",26,1,64,33,47.58064516129033,0,40,
"Nu: 0.005, Gamma: 0.7",25,2,44,53,62.903225806451616,0,40,
"Nu: 0.005, Gamma: 0.9",25,2,42,55,64.51612903225806,0,40,
"Nu: 0.005, Gamma: 0.99",25,2,41,56,65.32258064516128,0,40,
"Nu: 0.05, Gamma: 0.0001",18,9,66,31,39.516129032258064,0,40,
"Nu: 0.05, Gamma: 0.0002",25,2,84,13,30.64516129032258,0,40,
"Nu: 0.05, Gamma: 0.0003",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.05, Gamma: 0.0004",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.05, Gamma: 0.005",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.05, Gamma: 0.05",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.05, Gamma: 0.0625",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.05, Gamma: 0.1",24,3,79,18,33.87096774193548,0,40,
"Nu: 0.05, Gamma: 0.2",24,3,77,20,35.483870967741936,0,40,
"Nu: 0.05, Gamma: 0.5",24,3,54,43,54.03225806451613,0,40,
"Nu: 0.05, Gamma: 0.7",23,4,40,57,64.51612903225806,0,40,
"Nu: 0.05, Gamma: 0.9",23,4,37,60,66.93548387096774,0,40,
"Nu: 0.05, Gamma: 0.99",24,3,36,61,68.54838709677419,0,40,
"Nu: 0.0625, Gamma: 0.0001",25,2,81,16,33.064516129032256,0,40,
"Nu: 0.0625, Gamma: 0.0002",24,3,81,16,32.25806451612903,0,40,
"Nu: 0.0625, Gamma: 0.0003",24,3,77,20,35.483870967741936,0,40,
"Nu: 0.0625, Gamma: 0.0004",24,3,77,20,35.483870967741936,0,40,
"Nu: 0.0625, Gamma: 0.005",24,3,77,20,35.483870967741936,0,40,
"Nu: 0.0625, Gamma: 0.05",24,3,75,22,37.096774193548384,0,40,
"Nu: 0.0625, Gamma: 0.0625",24,3,74,23,37.903225806451616,0,40,
"Nu: 0.0625, Gamma: 0.1",24,3,73,24,38.70967741935484,0,40,
"Nu: 0.0625, Gamma: 0.2",24,3,72,25,39.516129032258064,0,40,
"Nu: 0.0625, Gamma: 0.5",23,4,51,46,55.64516129032258,0,40,
"Nu: 0.0625, Gamma: 0.7",23,4,40,57,64.51612903225806,0,40,
"Nu: 0.0625, Gamma: 0.9",23,4,35,62,68.54838709677419,0,40,
"Nu: 0.0625, Gamma: 0.99",23,4,34,63,69.35483870967742,0,40,
"Nu: 0.1, Gamma: 0.0001",16,11,60,37,42.74193548387097,0,40,
"Nu: 0.1, Gamma: 0.0002",24,3,72,25,39.516129032258064,0,40,
"Nu: 0.1, Gamma: 0.0003",23,4,68,29,41.935483870967744,0,40,
"Nu: 0.1, Gamma: 0.0004",23,4,68,29,41.935483870967744,0,40,
"Nu: 0.1, Gamma: 0.005",23,4,67,30,42.74193548387097,0,40,
"Nu: 0.1, Gamma: 0.05",24,3,67,30,43.54838709677419,0,40,
"Nu: 0.1, Gamma: 0.0625",24,3,67,30,43.54838709677419,0,40,
