Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.05, Gamma: 0.0004",19,0,151,3,12.71676301,0,40,,,
"Nu: 0.05, Gamma: 0.005",19,0,143,11,17.34104046,0,40,,,
"Nu: 0.05, Gamma: 0.05",19,0,143,11,17.34104046,0,40,,,
"Nu: 0.05, Gamma: 0.0625",19,0,143,11,17.34104046,0,40,,,
"Nu: 0.05, Gamma: 0.1",19,0,142,12,17.91907514,0,40,,,
"Nu: 0.05, Gamma: 0.2",18,1,148,6,13.87283237,0,40,,,
"Nu: 0.05, Gamma: 0.5",18,1,145,9,15.60693642,0,40,,,
"Nu: 0.05, Gamma: 0.7",15,4,144,10,14.45086705,0,40,,,
"Nu: 0.05, Gamma: 0.9",16,3,143,11,15.60693642,0,40,,,
"Nu: 0.05, Gamma: 0.99",16,3,143,11,15.60693642,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",15,4,76,78,53.75722543,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",15,4,76,78,53.75722543,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",17,2,76,78,54.9132948,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",19,0,134,20,22.5433526,0,40,,,
"Nu: 0.0625, Gamma: 0.005",19,0,141,13,18.49710983,0,40,,,
"Nu: 0.0625, Gamma: 0.05",19,0,141,13,18.49710983,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",19,0,141,13,18.49710983,0,40,,,
"Nu: 0.0625, Gamma: 0.1",19,0,142,12,17.91907514,0,40,,,
"Nu: 0.0625, Gamma: 0.2",18,1,139,15,19.07514451,0,40,,,
"Nu: 0.0625, Gamma: 0.5",18,1,145,9,15.60693642,0,40,,,
"Nu: 0.0625, Gamma: 0.7",15,4,144,10,14.45086705,0,40,,,
"Nu: 0.0625, Gamma: 0.9",16,3,143,11,15.60693642,0,40,,,
"Nu: 0.0625, Gamma: 0.99",16,3,142,12,16.1849711,0,40,,,
"Nu: 0.1, Gamma: 0.0001",15,4,76,78,53.75722543,0,40,,,
"Nu: 0.1, Gamma: 0.0002",17,2,76,78,54.9132948,0,40,,,
"Nu: 0.1, Gamma: 0.0003",19,0,76,78,56.06936416,0,40,,,
"Nu: 0.1, Gamma: 0.0004",19,0,79,75,54.33526012,0,40,,,
"Nu: 0.1, Gamma: 0.005",19,0,139,15,19.65317919,0,40,,,
"Nu: 0.1, Gamma: 0.05",19,0,139,15,19.65317919,0,40,,,
"Nu: 0.1, Gamma: 0.0625",19,0,139,15,19.65317919,0,40,,,
"Nu: 0.1, Gamma: 0.1",19,0,140,14,19.07514451,0,40,,,
"Nu: 0.1, Gamma: 0.2",17,2,137,17,19.65317919,0,40,,,
"Nu: 0.1, Gamma: 0.5",15,4,134,20,20.23121387,0,40,,,
"Nu: 0.1, Gamma: 0.7",15,4,132,22,21.38728324,0,40,,,
"Nu: 0.1, Gamma: 0.9",13,6,136,18,17.91907514,0,40,,,
"Nu: 0.1, Gamma: 0.99",13,6,137,17,17.34104046,0,40,,,
"Nu: 0.2, Gamma: 0.0001",15,4,73,81,55.49132948,0,40,,,
"Nu: 0.2, Gamma: 0.0002",17,2,134,20,21.38728324,0,40,,,
"Nu: 0.2, Gamma: 0.0003",17,2,84,70,50.28901734,0,40,,,
"Nu: 0.2, Gamma: 0.0004",17,2,73,81,56.64739884,0,40,,,
"Nu: 0.2, Gamma: 0.005",17,2,83,71,50.86705202,0,40,,,
"Nu: 0.2, Gamma: 0.05",16,3,123,31,27.16763006,0,40,,,
"Nu: 0.2, Gamma: 0.0625",16,3,124,30,26.58959538,0,40,,,
