Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.7, Gamma: 0.9",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.99",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.0001",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.0002",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.0003",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.0004",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.005",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.9, Gamma: 0.05",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.0625",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.1",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.2",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.5",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.7",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.9",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.9, Gamma: 0.99",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.99, Gamma: 0.0001",1,2,0,43,95.65217391304348,0,40,
