Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.005, Gamma: 0.0003",16,5,107,10,18.84057971,0,40,,,
"Nu: 0.005, Gamma: 0.0004",16,5,107,10,18.84057971,0,40,,,
"Nu: 0.005, Gamma: 0.005",19,2,111,6,18.11594203,0,40,,,
"Nu: 0.005, Gamma: 0.05",20,1,109,8,20.28985507,0,40,,,
"Nu: 0.005, Gamma: 0.0625",20,1,109,8,20.28985507,0,40,,,
"Nu: 0.005, Gamma: 0.1",20,1,105,12,23.1884058,0,40,,,
"Nu: 0.005, Gamma: 0.2",20,1,80,37,41.30434783,0,40,,,
"Nu: 0.005, Gamma: 0.5",20,1,21,96,84.05797101,0,40,,,
"Nu: 0.005, Gamma: 0.7",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.005, Gamma: 0.9",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.005, Gamma: 0.99",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.05, Gamma: 0.0001",21,0,110,7,20.28985507,0,40,,,
"Nu: 0.05, Gamma: 0.0002",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.05, Gamma: 0.0003",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.05, Gamma: 0.0004",20,1,110,7,19.56521739,0,40,,,
"Nu: 0.05, Gamma: 0.005",20,1,110,7,19.56521739,0,40,,,
"Nu: 0.05, Gamma: 0.05",20,1,108,9,21.01449275,0,40,,,
"Nu: 0.05, Gamma: 0.0625",20,1,108,9,21.01449275,0,40,,,
"Nu: 0.05, Gamma: 0.1",20,1,104,13,23.91304348,0,40,,,
"Nu: 0.05, Gamma: 0.2",20,1,79,38,42.02898551,0,40,,,
"Nu: 0.05, Gamma: 0.5",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.05, Gamma: 0.7",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.05, Gamma: 0.9",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.05, Gamma: 0.99",20,1,17,100,86.95652174,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",19,2,110,7,18.84057971,0,40,,,
"Nu: 0.0625, Gamma: 0.005",20,1,110,7,19.56521739,0,40,,,
"Nu: 0.0625, Gamma: 0.05",20,1,108,9,21.01449275,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",20,1,108,9,21.01449275,0,40,,,
"Nu: 0.0625, Gamma: 0.1",20,1,104,13,23.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.2",20,1,78,39,42.75362319,0,40,,,
"Nu: 0.0625, Gamma: 0.5",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.0625, Gamma: 0.7",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.0625, Gamma: 0.9",19,2,18,99,85.50724638,0,40,,,
"Nu: 0.0625, Gamma: 0.99",19,2,15,102,87.68115942,0,40,,,
"Nu: 0.1, Gamma: 0.0001",21,0,108,9,21.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,0,108,9,21.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.0003",21,0,108,9,21.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.0004",20,1,107,10,21.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.005",20,1,107,10,21.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.05",20,1,106,11,22.46376812,0,40,,,
"Nu: 0.1, Gamma: 0.0625",20,1,106,11,22.46376812,0,40,,,
"Nu: 0.1, Gamma: 0.1",20,1,102,15,25.36231884,0,40,,,
"Nu: 0.1, Gamma: 0.2",20,1,69,48,49.27536232,0,40,,,
"Nu: 0.1, Gamma: 0.5",19,2,17,100,86.23188406,0,40,,,
"Nu: 0.1, Gamma: 0.7",19,2,18,99,85.50724638,0,40,,,
"Nu: 0.1, Gamma: 0.9",17,4,12,105,88.4057971,0,40,,,
"Nu: 0.1, Gamma: 0.99",17,4,12,105,88.4057971,0,40,,,
"Nu: 0.2, Gamma: 0.0001",16,5,106,11,19.56521739,0,40,,,
"Nu: 0.2, Gamma: 0.0002",18,3,107,10,20.28985507,0,40,,,
"Nu: 0.2, Gamma: 0.0003",17,4,107,10,19.56521739,0,40,,,
"Nu: 0.2, Gamma: 0.0004",17,4,107,10,19.56521739,0,40,,,
"Nu: 0.2, Gamma: 0.005",17,4,106,11,20.28985507,0,40,,,
"Nu: 0.2, Gamma: 0.05",17,4,106,11,20.28985507,0,40,,,
"Nu: 0.2, Gamma: 0.0625",17,4,106,11,20.28985507,0,40,,,
"Nu: 0.2, Gamma: 0.1",17,4,101,16,23.91304348,0,40,,,
"Nu: 0.2, Gamma: 0.2",18,3,69,48,47.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.5",17,4,9,108,90.57971014,0,40,,,
"Nu: 0.2, Gamma: 0.7",16,5,8,109,90.57971014,0,40,,,
"Nu: 0.2, Gamma: 0.9",16,5,4,113,93.47826087,0,40,,,
"Nu: 0.2, Gamma: 0.99",16,5,4,113,93.47826087,0,40,,,
"Nu: 0.5, Gamma: 0.0001",15,6,104,13,20.28985507,0,40,,,
"Nu: 0.5, Gamma: 0.0002",15,6,104,13,20.28985507,0,40,,,
"Nu: 0.5, Gamma: 0.0003",15,6,105,12,19.56521739,0,40,,,
"Nu: 0.5, Gamma: 0.0004",15,6,105,12,19.56521739,0,40,,,
"Nu: 0.5, Gamma: 0.005",15,6,105,12,19.56521739,0,40,,,
"Nu: 0.5, Gamma: 0.05",15,6,103,14,21.01449275,0,40,,,
"Nu: 0.5, Gamma: 0.0625",15,6,100,17,23.1884058,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,6,100,17,23.1884058,0,40,,,
