Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.1, Gamma: 0.0002",18,2,128,27,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0003",16,4,118,37,30.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.0004",16,4,118,37,30.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.005",17,3,128,27,25.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.05",17,3,120,35,29.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.0625",17,3,119,36,30.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.1",16,4,116,39,31.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.2",16,4,114,41,32.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.5",17,3,119,36,30.28571429,0,40,,,
"Nu: 0.1, Gamma: 0.7",18,2,116,39,32.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.9",18,2,116,39,32.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.99",17,3,117,38,31.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.0001",8,12,44,111,68,0,40,,,
"Nu: 0.2, Gamma: 0.0002",16,4,119,36,29.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0003",16,4,119,36,29.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0004",16,4,119,36,29.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.005",16,4,118,37,30.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.05",16,4,111,44,34.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0625",16,4,112,43,33.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.1",16,4,112,43,33.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.2",16,4,113,42,33.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.5",15,5,104,51,37.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.7",15,5,105,50,37.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.9",15,5,105,50,37.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.99",15,5,105,50,37.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0001",13,7,43,112,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0002",13,7,43,112,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0003",14,6,43,112,72,0,40,,,
"Nu: 0.5, Gamma: 0.0004",14,6,43,112,72,0,40,,,
"Nu: 0.5, Gamma: 0.005",14,6,43,112,72,0,40,,,
