Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.6371553
"Nu: 0.005, Gamma: 0.0625",264,11,67,30,79.03225806,0,40,,
"Nu: 0.005, Gamma: 0.1",265,10,67,30,79.30107527,0,40,,
"Nu: 0.005, Gamma: 0.2",265,10,61,36,80.91397849,0,40,,
"Nu: 0.005, Gamma: 0.5",271,4,32,65,90.32258065,0,40,,
"Nu: 0.005, Gamma: 0.7",253,22,25,72,87.3655914,0,40,,
"Nu: 0.005, Gamma: 0.9",272,3,17,80,94.62365591,0,40,,
"Nu: 0.005, Gamma: 0.99",263,12,17,80,92.20430108,0,40,,
"Nu: 0.05, Gamma: 0.0001",137,138,18,79,58.06451613,0,40,,
"Nu: 0.05, Gamma: 0.0002",137,138,22,75,56.98924731,0,40,,
"Nu: 0.05, Gamma: 0.0003",137,138,21,76,57.25806452,0,40,,
"Nu: 0.05, Gamma: 0.0004",138,137,21,76,57.52688172,0,40,,
"Nu: 0.05, Gamma: 0.005",258,17,18,79,90.59139785,0,40,,
"Nu: 0.05, Gamma: 0.05",258,17,17,80,90.86021505,0,40,,
"Nu: 0.05, Gamma: 0.0625",257,18,15,82,91.12903226,0,40,,
"Nu: 0.05, Gamma: 0.1",254,21,14,83,90.59139785,0,40,,
"Nu: 0.05, Gamma: 0.2",254,21,9,88,91.93548387,0,40,,
"Nu: 0.05, Gamma: 0.5",254,21,6,91,92.74193548,0,40,,
"Nu: 0.05, Gamma: 0.7",253,22,3,94,93.27956989,0,40,,
"Nu: 0.05, Gamma: 0.9",249,26,3,94,92.20430108,0,40,,
"Nu: 0.05, Gamma: 0.99",249,26,3,94,92.20430108,0,40,,
"Nu: 0.0625, Gamma: 0.0001",194,81,13,84,74.7311828,0,40,,
"Nu: 0.0625, Gamma: 0.0002",194,81,13,84,74.7311828,0,40,,
"Nu: 0.0625, Gamma: 0.0003",194,81,13,84,74.7311828,0,40,,
"Nu: 0.0625, Gamma: 0.0004",194,81,13,84,74.7311828,0,40,,
"Nu: 0.0625, Gamma: 0.005",252,23,12,85,90.59139785,0,40,,
"Nu: 0.0625, Gamma: 0.05",252,23,9,88,91.39784946,0,40,,
"Nu: 0.0625, Gamma: 0.0625",253,22,9,88,91.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.1",253,22,9,88,91.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.2",253,22,6,91,92.47311828,0,40,,
"Nu: 0.0625, Gamma: 0.5",251,24,3,94,92.74193548,0,40,,
"Nu: 0.0625, Gamma: 0.7",251,24,3,94,92.74193548,0,40,,
"Nu: 0.0625, Gamma: 0.9",252,23,1,96,93.5483871,0,40,,
"Nu: 0.0625, Gamma: 0.99",252,23,1,96,93.5483871,0,40,,
"Nu: 0.1, Gamma: 0.0001",115,160,6,91,55.37634409,0,40,,
"Nu: 0.1, Gamma: 0.0002",115,160,6,91,55.37634409,0,40,,
"Nu: 0.1, Gamma: 0.0003",115,160,6,91,55.37634409,0,40,,
"Nu: 0.1, Gamma: 0.0004",115,160,6,91,55.37634409,0,40,,
"Nu: 0.1, Gamma: 0.005",242,33,6,91,89.51612903,0,40,,
"Nu: 0.1, Gamma: 0.05",241,34,6,91,89.24731183,0,40,,
"Nu: 0.1, Gamma: 0.0625",241,34,6,91,89.24731183,0,40,,
"Nu: 0.1, Gamma: 0.1",241,34,6,91,89.24731183,0,40,,
"Nu: 0.1, Gamma: 0.2",240,35,4,93,89.51612903,0,40,,
"Nu: 0.1, Gamma: 0.5",240,35,1,96,90.32258065,0,40,,
"Nu: 0.1, Gamma: 0.7",240,35,0,97,90.59139785,0,40,,
"Nu: 0.1, Gamma: 0.9",241,34,0,97,90.86021505,0,40,,
"Nu: 0.1, Gamma: 0.99",241,34,0,97,90.86021505,0,40,,
"Nu: 0.2, Gamma: 0.0001",108,167,4,93,54.03225806,0,40,,
"Nu: 0.2, Gamma: 0.0002",108,167,4,93,54.03225806,0,40,,
"Nu: 0.2, Gamma: 0.0003",109,166,4,93,54.30107527,0,40,,
"Nu: 0.2, Gamma: 0.0004",110,165,4,93,54.56989247,0,40,,
"Nu: 0.2, Gamma: 0.005",151,124,4,93,65.59139785,0,40,,
"Nu: 0.2, Gamma: 0.05",214,61,3,94,82.79569892,0,40,,
"Nu: 0.2, Gamma: 0.0625",214,61,3,94,82.79569892,0,40,,
"Nu: 0.2, Gamma: 0.1",214,61,3,94,82.79569892,0,40,,
"Nu: 0.2, Gamma: 0.2",214,61,1,96,83.33333333,0,40,,
"Nu: 0.2, Gamma: 0.5",214,61,0,97,83.60215054,0,40,,
"Nu: 0.2, Gamma: 0.7",214,61,0,97,83.60215054,0,40,,
"Nu: 0.2, Gamma: 0.9",214,61,0,97,83.60215054,0,40,,
"Nu: 0.2, Gamma: 0.99",214,61,0,97,83.60215054,0,40,,
"Nu: 0.5, Gamma: 0.0001",214,61,1,96,83.33333333,0,40,,
"Nu: 0.5, Gamma: 0.0002",215,60,1,96,83.60215054,0,40,,
"Nu: 0.5, Gamma: 0.0003",223,52,1,96,85.75268817,0,40,,
"Nu: 0.5, Gamma: 0.0004",229,46,1,96,87.3655914,0,40,,
"Nu: 0.5, Gamma: 0.005",132,143,1,96,61.29032258,0,40,,
"Nu: 0.5, Gamma: 0.05",131,144,0,97,61.29032258,0,40,,
"Nu: 0.5, Gamma: 0.0625",130,145,0,97,61.02150538,0,40,,
"Nu: 0.5, Gamma: 0.1",130,145,0,97,61.02150538,0,40,,
"Nu: 0.5, Gamma: 0.2",130,145,0,97,61.02150538,0,40,,
"Nu: 0.5, Gamma: 0.5",134,141,0,97,62.09677419,0,40,,
"Nu: 0.5, Gamma: 0.7",137,138,0,97,62.90322581,0,40,,
"Nu: 0.5, Gamma: 0.9",126,149,0,97,59.94623656,0,40,,
"Nu: 0.5, Gamma: 0.99",127,148,0,97,60.21505376,0,40,,
"Nu: 0.7, Gamma: 0.0001",21,254,0,97,31.72043011,0,40,,
"Nu: 0.7, Gamma: 0.0002",21,254,0,97,31.72043011,0,40,,
"Nu: 0.7, Gamma: 0.0003",31,244,0,97,34.40860215,0,40,,
"Nu: 0.7, Gamma: 0.0004",45,230,0,97,38.17204301,0,40,,
"Nu: 0.7, Gamma: 0.005",87,188,0,97,49.46236559,0,40,,
"Nu: 0.7, Gamma: 0.05",85,190,0,97,48.92473118,0,40,,
"Nu: 0.7, Gamma: 0.0625",83,192,0,97,48.38709677,0,40,,
"Nu: 0.7, Gamma: 0.1",84,191,0,97,48.65591398,0,40,,
"Nu: 0.7, Gamma: 0.2",84,191,0,97,48.65591398,0,40,,
"Nu: 0.7, Gamma: 0.5",73,202,0,97,45.69892473,0,40,,
"Nu: 0.7, Gamma: 0.7",78,197,0,97,47.04301075,0,40,,
"Nu: 0.7, Gamma: 0.9",80,195,0,97,47.58064516,0,40,,
"Nu: 0.7, Gamma: 0.99",78,197,0,97,47.04301075,0,40,,
"Nu: 0.9, Gamma: 0.0001",90,185,0,97,50.2688172,0,40,,
"Nu: 0.9, Gamma: 0.0002",93,182,0,97,51.07526882,0,40,,
"Nu: 0.9, Gamma: 0.0003",93,182,0,97,51.07526882,0,40,,
"Nu: 0.9, Gamma: 0.0004",97,178,0,97,52.15053763,0,40,,
"Nu: 0.9, Gamma: 0.005",45,230,0,97,38.17204301,0,40,,
"Nu: 0.9, Gamma: 0.05",31,244,0,97,34.40860215,0,40,,
"Nu: 0.9, Gamma: 0.0625",28,247,0,97,33.60215054,0,40,,
"Nu: 0.9, Gamma: 0.1",30,245,0,97,34.13978495,0,40,,
"Nu: 0.9, Gamma: 0.2",30,245,0,97,34.13978495,0,40,,
"Nu: 0.9, Gamma: 0.5",31,244,0,97,34.40860215,0,40,,
"Nu: 0.9, Gamma: 0.7",22,253,0,97,31.98924731,0,40,,
"Nu: 0.9, Gamma: 0.9",22,253,0,97,31.98924731,0,40,,
"Nu: 0.9, Gamma: 0.99",25,250,0,97,32.79569892,0,40,,
"Nu: 0.99, Gamma: 0.0001",61,214,0,97,42.47311828,0,40,,
"Nu: 0.99, Gamma: 0.0002",63,212,0,97,43.01075269,0,40,,
"Nu: 0.99, Gamma: 0.0003",67,208,0,97,44.08602151,0,40,,
"Nu: 0.99, Gamma: 0.0004",66,209,0,97,43.8172043,0,40,,
"Nu: 0.99, Gamma: 0.005",7,268,0,97,27.95698925,0,40,,
