Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.0004, Gamma: 0.005",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0004, Gamma: 0.05",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,84,34,34.61538462,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,102,16,21.53846154,0,40,,,
"Nu: 0.0004, Gamma: 0.7",10,2,93,25,26.92307692,0,40,,,
"Nu: 0.0004, Gamma: 0.9",8,4,72,46,41.53846154,0,40,,,
"Nu: 0.0004, Gamma: 0.99",11,1,98,20,23.84615385,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.005, Gamma: 0.0002",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.005, Gamma: 0.0003",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.005, Gamma: 0.0004",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,114,4,12.30769231,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,114,4,12.30769231,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,114,4,12.30769231,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,114,4,12.30769231,0,40,,,
"Nu: 0.005, Gamma: 0.2",11,1,112,6,13.07692308,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,112,6,13.84615385,0,40,,,
"Nu: 0.005, Gamma: 0.7",11,1,101,17,21.53846154,0,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,97,21,24.61538462,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,96,22,25.38461538,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,113,5,13.07692308,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,101,17,21.53846154,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,100,18,22.30769231,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,96,22,25.38461538,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,111,7,14.61538462,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,112,6,13.84615385,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,109,9,16.15384615,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,101,17,21.53846154,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,100,18,22.30769231,0,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,96,22,25.38461538,0,40,,,
"Nu: 0.1, Gamma: 0.0001",9,3,78,40,37.69230769,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,90,28,29.23076923,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,90,28,29.23076923,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,90,28,29.23076923,0,40,,,
"Nu: 0.1, Gamma: 0.005",11,1,110,8,14.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.05",11,1,110,8,14.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.0625",11,1,110,8,14.61538462,0,40,,,
"Nu: 0.1, Gamma: 0.1",11,1,108,10,16.15384615,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,108,10,16.92307692,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,108,10,16.92307692,0,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,99,19,23.07692308,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,95,23,26.15384615,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,93,25,26.92307692,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,86,32,32.30769231,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,86,32,32.30769231,0,40,,,
"Nu: 0.2, Gamma: 0.0003",10,2,86,32,32.30769231,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,105,13,18.46153846,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,105,13,18.46153846,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,105,13,18.46153846,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,105,13,18.46153846,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,105,13,18.46153846,0,40,,,
